region,cluster_min_order,stream_order,iso_pred
Kuskokwim,5,5,0.707323361
Kuskokwim,5,5,0.70712386
Kuskokwim,5,5,0.705616215
Kuskokwim,5,5,0.707923931
Kuskokwim,5,5,0.707162698
Kuskokwim,5,5,0.70686901
Kuskokwim,5,5,0.707369715
Kuskokwim,5,5,0.707831535
Kuskokwim,5,5,0.707257087
Kuskokwim,5,5,0.706972638
Kuskokwim,5,5,0.706967109
Kuskokwim,5,5,0.707928482
Kuskokwim,5,5,0.706957989
Kuskokwim,5,5,0.705648001
Kuskokwim,5,5,0.707798483
Kuskokwim,5,5,0.707699678
Kuskokwim,5,5,0.707712173
Kuskokwim,5,5,0.707694516
Kuskokwim,5,7,0.70857163
Kuskokwim,5,7,0.708587238
Kuskokwim,5,7,0.708738127
Kuskokwim,5,5,0.706958164
Kuskokwim,5,5,0.707715367
Kuskokwim,5,5,0.706954523
Kuskokwim,5,5,0.706957946
Kuskokwim,5,5,0.707721168
Kuskokwim,5,7,0.708559864
Kuskokwim,5,5,0.707780325
Kuskokwim,5,5,0.707768336
Kuskokwim,5,5,0.707757805
Kuskokwim,5,6,0.70510036
Kuskokwim,5,5,0.707745027
Kuskokwim,5,5,0.706974382
Kuskokwim,5,6,0.705122685
Kuskokwim,5,5,0.707775794
Kuskokwim,5,5,0.706139498
Kuskokwim,5,5,0.70772497
Kuskokwim,5,5,0.707751097
Kuskokwim,5,5,0.707757642
Kuskokwim,5,5,0.70776148
Kuskokwim,5,5,0.707740198
Kuskokwim,5,5,0.707732461
Kuskokwim,5,5,0.707944704
Kuskokwim,5,5,0.707778729
Kuskokwim,5,5,0.70776861
Kuskokwim,5,5,0.706962704
Kuskokwim,5,5,0.707794953
Kuskokwim,5,7,0.708763683
Kuskokwim,5,5,0.707858306
Kuskokwim,5,6,0.706055787
Kuskokwim,5,5,0.706909912
Kuskokwim,5,5,0.706902003
Kuskokwim,5,6,0.705158162
Kuskokwim,5,5,0.707777513
Kuskokwim,5,7,0.708568006
Kuskokwim,5,5,0.706909997
Kuskokwim,5,5,0.706957272
Kuskokwim,5,6,0.705181963
Kuskokwim,5,5,0.70799336
Kuskokwim,5,5,0.707922797
Kuskokwim,5,7,0.708740348
Kuskokwim,5,5,0.707013202
Kuskokwim,5,5,0.706370538
Kuskokwim,5,5,0.707833284
Kuskokwim,5,5,0.707879617
Kuskokwim,5,5,0.706974785
Kuskokwim,5,5,0.707995075
Kuskokwim,5,5,0.706920021
Kuskokwim,5,5,0.706924524
Kuskokwim,5,7,0.708569643
Kuskokwim,5,7,0.708581638
Kuskokwim,5,5,0.706914331
Kuskokwim,5,5,0.70789512
Kuskokwim,5,5,0.706934981
Kuskokwim,5,5,0.707891582
Kuskokwim,5,5,0.706924424
Kuskokwim,5,5,0.707891973
Kuskokwim,5,6,0.706023468
Kuskokwim,5,7,0.708742107
Kuskokwim,5,5,0.707911105
Kuskokwim,5,5,0.70696138
Kuskokwim,5,5,0.707057831
Kuskokwim,5,5,0.705953813
Kuskokwim,5,5,0.707966902
Kuskokwim,5,5,0.707001694
Kuskokwim,5,5,0.707925585
Kuskokwim,5,5,0.706245734
Kuskokwim,5,5,0.706220129
Kuskokwim,5,7,0.70860615
Kuskokwim,5,5,0.708057517
Kuskokwim,5,5,0.707842202
Kuskokwim,5,7,0.708622066
Kuskokwim,5,5,0.707966689
Kuskokwim,5,7,0.708785113
Kuskokwim,5,5,0.707886717
Kuskokwim,5,7,0.708766241
Kuskokwim,5,7,0.708600941
Kuskokwim,5,7,0.708779655
Kuskokwim,5,5,0.706430508
Kuskokwim,5,5,0.708168957
Kuskokwim,5,5,0.707961391
Kuskokwim,5,5,0.707939154
Kuskokwim,5,7,0.70891437
Kuskokwim,5,5,0.707559063
Kuskokwim,5,5,0.707568096
Kuskokwim,5,7,0.708764076
Kuskokwim,5,5,0.707880906
Kuskokwim,5,5,0.706580259
Kuskokwim,5,7,0.708802877
Kuskokwim,5,5,0.70753391
Kuskokwim,5,5,0.709216953
Kuskokwim,5,5,0.70805235
Kuskokwim,5,6,0.707207464
Kuskokwim,5,5,0.705893361
Kuskokwim,5,5,0.708052797
Kuskokwim,5,5,0.707624625
Kuskokwim,5,5,0.707665925
Kuskokwim,5,5,0.705959902
Kuskokwim,5,5,0.70686975
Kuskokwim,5,5,0.707922647
Kuskokwim,5,5,0.707894442
Kuskokwim,5,7,0.708772304
Kuskokwim,5,5,0.708178071
Kuskokwim,5,5,0.708029608
Kuskokwim,5,5,0.708114489
Kuskokwim,5,5,0.706309685
Kuskokwim,5,5,0.706638519
Kuskokwim,5,5,0.706700364
Kuskokwim,5,5,0.706666148
Kuskokwim,5,7,0.708815633
Kuskokwim,5,5,0.706729025
Kuskokwim,5,5,0.706314267
Kuskokwim,5,5,0.707894678
Kuskokwim,5,5,0.707557167
Kuskokwim,5,5,0.707909047
Kuskokwim,5,5,0.707571303
Kuskokwim,5,5,0.708152733
Kuskokwim,5,5,0.708185409
Kuskokwim,5,5,0.706335563
Kuskokwim,5,5,0.707929268
Kuskokwim,5,5,0.707903739
Kuskokwim,5,5,0.708229653
Kuskokwim,5,5,0.706797669
Kuskokwim,5,5,0.708132711
Kuskokwim,5,5,0.707929835
Kuskokwim,5,5,0.707959772
Kuskokwim,5,5,0.707954473
Kuskokwim,5,5,0.706953052
Kuskokwim,5,5,0.706438551
Kuskokwim,5,5,0.707051327
Kuskokwim,5,5,0.706366551
Kuskokwim,5,5,0.706371157
Kuskokwim,5,5,0.708240397
Kuskokwim,5,5,0.707381776
Kuskokwim,5,5,0.707557399
Kuskokwim,5,5,0.706388119
Kuskokwim,5,5,0.705980611
Kuskokwim,5,5,0.705973319
Kuskokwim,5,5,0.707089188
Kuskokwim,5,5,0.705971837
Kuskokwim,5,5,0.708249134
Kuskokwim,5,5,0.707659502
Kuskokwim,5,5,0.707135355
Kuskokwim,5,5,0.708016657
Kuskokwim,5,5,0.70826683
Kuskokwim,5,5,0.708025994
Kuskokwim,5,5,0.705942806
Kuskokwim,5,5,0.707187434
Kuskokwim,5,5,0.708036378
Kuskokwim,5,7,0.708850119
Kuskokwim,5,5,0.707934545
Kuskokwim,5,5,0.705941959
Kuskokwim,5,5,0.707305001
Kuskokwim,5,5,0.705948307
Kuskokwim,5,7,0.709538179
Kuskokwim,5,5,0.708025404
Kuskokwim,5,5,0.708767708
Kuskokwim,5,7,0.708903442
Kuskokwim,5,5,0.705842866
Kuskokwim,5,5,0.707651951
Kuskokwim,5,5,0.70768079
Kuskokwim,5,5,0.707829399
Kuskokwim,5,6,0.707249623
Kuskokwim,5,5,0.70884264
Kuskokwim,5,5,0.705824639
Kuskokwim,5,5,0.707504653
Kuskokwim,5,7,0.708906386
Kuskokwim,5,5,0.708793829
Kuskokwim,5,5,0.707604615
Kuskokwim,5,5,0.708031993
Kuskokwim,5,5,0.707631013
Kuskokwim,5,6,0.707357244
Kuskokwim,5,5,0.708080262
Kuskokwim,5,5,0.708812591
Kuskokwim,5,6,0.707482566
Kuskokwim,5,5,0.707750285
Kuskokwim,5,5,0.707763977
Kuskokwim,5,7,0.708930825
Kuskokwim,5,5,0.707793058
Kuskokwim,5,5,0.708811469
Kuskokwim,5,5,0.708008654
Kuskokwim,5,5,0.707852805
Kuskokwim,5,6,0.707400812
Kuskokwim,5,5,0.708276102
Kuskokwim,5,5,0.705853745
Kuskokwim,5,5,0.708826653
Kuskokwim,5,7,0.708273555
Kuskokwim,5,5,0.706348661
Kuskokwim,5,5,0.70801343
Kuskokwim,5,5,0.708874059
Kuskokwim,5,5,0.708073234
Kuskokwim,5,5,0.708856386
Kuskokwim,5,5,0.707829804
Kuskokwim,5,5,0.708845245
Kuskokwim,5,5,0.707835652
Kuskokwim,5,5,0.705850658
Kuskokwim,5,5,0.708854751
Kuskokwim,5,5,0.708859457
Kuskokwim,5,5,0.70784762
Kuskokwim,5,5,0.707837838
Kuskokwim,5,5,0.707940384
Kuskokwim,5,5,0.705797505
Kuskokwim,5,5,0.708053263
Kuskokwim,5,5,0.705828504
Kuskokwim,5,7,0.708896839
Kuskokwim,5,5,0.707832036
Kuskokwim,5,5,0.707858439
Kuskokwim,5,5,0.7088338
Kuskokwim,5,5,0.708809715
Kuskokwim,5,5,0.70582727
Kuskokwim,5,5,0.708009324
Kuskokwim,5,5,0.708781802
Kuskokwim,5,5,0.705823283
Kuskokwim,5,5,0.708013907
Kuskokwim,5,5,0.707666697
Kuskokwim,5,6,0.708219752
Kuskokwim,5,5,0.708003588
Kuskokwim,5,7,0.708904358
Kuskokwim,5,6,0.708235701
Kuskokwim,5,6,0.708204732
Kuskokwim,5,5,0.705810717
Kuskokwim,5,5,0.707858781
Kuskokwim,5,5,0.70800246
Kuskokwim,5,5,0.707673995
Kuskokwim,5,5,0.707515631
Kuskokwim,5,5,0.708807669
Kuskokwim,5,6,0.70821942
Kuskokwim,5,5,0.707835312
Kuskokwim,5,5,0.708806006
Kuskokwim,5,5,0.705790049
Kuskokwim,5,7,0.708413487
Kuskokwim,5,5,0.705806617
Kuskokwim,5,5,0.707766399
Kuskokwim,5,5,0.707699969
Kuskokwim,5,5,0.707745219
Kuskokwim,5,5,0.708807357
Kuskokwim,5,5,0.708141454
Kuskokwim,5,5,0.707744295
Kuskokwim,5,5,0.70581781
Kuskokwim,5,5,0.707735191
Kuskokwim,5,5,0.708799844
Kuskokwim,5,5,0.707724067
Kuskokwim,5,5,0.707714483
Kuskokwim,5,5,0.707645089
Kuskokwim,5,5,0.708818033
Kuskokwim,5,5,0.707677547
Kuskokwim,5,5,0.707587549
Kuskokwim,5,7,0.708907836
Kuskokwim,5,6,0.708266732
Kuskokwim,5,5,0.707663393
Kuskokwim,5,7,0.708150912
Kuskokwim,5,5,0.709233286
Kuskokwim,5,5,0.707554333
Kuskokwim,5,7,0.709005826
Kuskokwim,5,6,0.709187606
Kuskokwim,5,5,0.709946786
Kuskokwim,5,7,0.70913812
Kuskokwim,5,7,0.709332483
Kuskokwim,5,7,0.708668914
Kuskokwim,5,5,0.705777481
Kuskokwim,5,5,0.708804218
Kuskokwim,5,5,0.708854829
Kuskokwim,5,7,0.708704022
Kuskokwim,5,5,0.707479279
Kuskokwim,5,5,0.70815146
Kuskokwim,5,7,0.708839808
Kuskokwim,5,5,0.707472832
Kuskokwim,5,6,0.707521553
Kuskokwim,5,7,0.708714903
Kuskokwim,5,5,0.707879992
Kuskokwim,5,5,0.709215509
