basin,region,stream_order,mouth_reachid,n_reaches,mean_iso,median_iso,q1,q3,min_iso,max_iso,sd_iso
Yukon,upper,4,11643,9,0.7182246542452222,0.718158971201,0.718081846233,0.718399589924,0.71786967557,0.718663859233,0.0002454393060521653
Yukon,upper,3,11613,1,0.718663859233,0.718663859233,0.718663859233,0.718663859233,0.718663859233,0.718663859233,0.0
Yukon,upper,4,11614,3,0.717018316061,0.716825781196,0.7167868684700001,0.7171534962195001,0.716747955744,0.717481211243,0.00040276315916909467
Yukon,upper,3,11616,1,0.719717582004,0.719717582004,0.719717582004,0.719717582004,0.719717582004,0.719717582004,0.0
Yukon,middle,6,12441,125,0.7305610498291359,0.733603797946,0.722923263041,0.73818778108,0.71296776824,0.741761617099,0.008621737436656104
Yukon,middle,5,12804,55,0.7379380398028544,0.73818778108,0.7362764765550001,0.7405255496095,0.726109440748,0.741761617099,0.0032778839141343304
Yukon,upper,3,11619,1,0.718094755099,0.718094755099,0.718094755099,0.718094755099,0.718094755099,0.718094755099,0.0
Yukon,upper,3,11628,1,0.719808412232,0.719808412232,0.719808412232,0.719808412232,0.719808412232,0.719808412232,0.0
Yukon,upper,4,11671,3,0.7166300233896666,0.716761325747,0.7163851823555001,0.7169405156024999,0.716009038964,0.717119705458,0.0005668555786128396
Yukon,upper,3,11632,1,0.717119705458,0.717119705458,0.717119705458,0.717119705458,0.717119705458,0.717119705458,0.0
Yukon,upper,3,11634,1,0.717220557164,0.717220557164,0.717220557164,0.717220557164,0.717220557164,0.717220557164,0.0
Yukon,upper,3,11637,1,0.717805063355,0.717805063355,0.717805063355,0.717805063355,0.717805063355,0.717805063355,0.0
Yukon,upper,4,11642,3,0.7177415484576667,0.717736732374,0.717674624376,0.7178060644975,0.717612516378,0.717875396621,0.000131506279455915
Yukon,upper,3,11653,1,0.716747955744,0.716747955744,0.716747955744,0.716747955744,0.716747955744,0.716747955744,0.0
Yukon,upper,3,11657,1,0.716825781196,0.716825781196,0.716825781196,0.716825781196,0.716825781196,0.716825781196,0.0
Yukon,upper,3,11666,1,0.717244591109,0.717244591109,0.717244591109,0.717244591109,0.717244591109,0.717244591109,0.0
Yukon,upper,3,11667,1,0.716009038964,0.716009038964,0.716009038964,0.716009038964,0.716009038964,0.716009038964,0.0
Yukon,upper,3,11676,1,0.718399589924,0.718399589924,0.718399589924,0.718399589924,0.718399589924,0.718399589924,0.0
Yukon,upper,3,11677,1,0.7180239226,0.7180239226,0.7180239226,0.7180239226,0.7180239226,0.7180239226,0.0
Yukon,middle,4,11701,5,0.7248466997342,0.724736846917,0.724131549617,0.725007826299,0.724036468699,0.726320807139,0.0009190941291225089
Yukon,upper,3,11686,1,0.71826031399,0.71826031399,0.71826031399,0.71826031399,0.71826031399,0.71826031399,0.0
Yukon,upper,3,11700,1,0.717721536388,0.717721536388,0.717721536388,0.717721536388,0.717721536388,0.717721536388,0.0
Yukon,upper,4,11741,7,0.7183921418538571,0.718450565441,0.718283936109,0.7185077941325,0.718143808457,0.718567158596,0.00017818295924552875
Yukon,upper,3,11703,1,0.718143808457,0.718143808457,0.718143808457,0.718143808457,0.718143808457,0.718143808457,0.0
Yukon,middle,6,12218,91,0.7301113912911318,0.734660523086,0.723879926936,0.738157017911,0.711488503988,0.739269839822,0.00875018896563188
Yukon,middle,5,12430,11,0.7211848263118181,0.719591574146,0.712984947714,0.7290146333465,0.712152966589,0.735614559476,0.009542943085882891
Yukon,middle,4,12147,5,0.7281454342033999,0.733758543574,0.724270723119,0.734930378259,0.712152966589,0.735614559476,0.010051152935943938
Yukon,middle,3,11720,1,0.712152966589,0.712152966589,0.712152966589,0.712152966589,0.712152966589,0.712152966589,0.0
Yukon,middle,4,11731,3,0.7201824796856666,0.721145327269,0.7185451336324999,0.7223012495305,0.715944939996,0.723457171792,0.0038475593875542257
Yukon,middle,3,11732,1,0.724736846917,0.724736846917,0.724736846917,0.724736846917,0.724736846917,0.724736846917,0.0
Yukon,upper,6,11917,69,0.7238983392055364,0.723829804069,0.722373560269,0.725968255801,0.718774654466,0.726936370747,0.0021959588977827657
