year,stream_order,focal_reach,group_individuals,n_reaches_in_group,n_reaches_with_production,basin_total_run
2015,6,12847,0,45,0,161749
2015,6,13326,409.5680438210229,69,22,161749
2015,6,14045,814.2449904251636,75,12,161749
2015,6,14438,0,115,0,161749
2015,6,14696,322.4617483295623,57,6,161749
2015,6,14936,37.56709353461111,75,1,161749
2015,6,14968,168.77223834340242,37,4,161749
2015,6,15093,272.6407746407112,75,6,161749
2015,6,15361,0,105,0,161749
2015,6,15428,1315.092005472606,131,20,161749
2015,6,15448,0,41,0,161749
2015,6,15618,0,41,0,161749
2015,6,16183,1930.3913480229617,145,20,161749
2015,6,16349,177.67857875260495,43,2,161749
2015,6,16468,2157.695536366251,109,24,161749
2015,6,16629,3271.9505491939335,197,35,161749
2015,6,16632,236.5480962718895,89,8,161749
2015,6,16660,155.26189459967054,29,3,161749
2015,6,16669,97.42378372867267,73,2,161749
2015,6,16849,339.7596287717338,109,8,161749
2015,6,16877,481.8345734260014,79,8,161749
2015,6,16960,425.46034496681546,213,7,161749
2015,6,17067,78.32036140573855,47,2,161749
2015,6,17426,1582.849881065312,95,14,161749
2015,6,17487,1496.7656000685688,95,17,161749
2015,6,17748,1216.7394628816305,91,18,161749
2015,6,17807,2622.586463068914,131,28,161749
2015,6,18300,233.72360774534027,45,4,161749
2015,6,18307,4136.698116458094,209,37,161749
2015,6,18524,0,29,0,161749
2015,6,18944,250.35117043254604,57,4,161749
2015,6,19619,2224.6682010011946,179,18,161749
2015,6,19622,761.5339268922545,61,9,161749
2015,6,20036,500.05005000646105,95,7,161749
2015,6,20215,72.13747806275681,79,1,161749
2015,7,1814,583.0942882471902,317,13,161749
2015,7,1985,6495.5617011236545,679,108,161749
2015,7,2101,2946.843000172263,337,46,161749
2015,7,10822,5064.544049467213,433,58,161749
2015,7,12002,10637.377318731144,1305,166,161749
2015,7,12103,1467.8965758769993,391,46,161749
2015,7,12267,19393.104098276,1713,250,161749
2015,7,13074,16018.606480232624,1903,230,161749
2015,7,15014,365.27760446480943,177,6,161749
2015,7,16892,12597.944551873992,1142,119,161749
2015,7,16917,11914.752184272053,775,124,161749
2015,7,17129,4119.650254700046,233,43,161749
2015,7,17137,1598.4408595396412,365,19,161749
2015,7,17217,1548.7287766422944,137,17,161749
2015,7,17257,5154.593561835038,283,42,161749
2015,7,17642,4638.65869761061,257,54,161749
2015,7,17942,6431.135502112505,457,62,161749
2016,5,1165,0,13,0,188551
2016,5,1360,0,23,0,188551
2016,5,1471,0,23,0,188551
2016,5,1512,0,21,0,188551
2016,5,1516,0,45,0,188551
2016,5,1578,0,13,0,188551
2016,5,1661,0,13,0,188551
2016,5,1749,0,13,0,188551
2016,5,1847,0,63,0,188551
2016,5,2090,0,41,0,188551
2016,5,2142,0,17,0,188551
2016,5,2167,0,47,0,188551
2016,5,2212,0,23,0,188551
2016,5,2252,0,17,0,188551
2016,5,2284,0,13,0,188551
2016,5,2397,0,9,0,188551
2016,5,2478,0,35,0,188551
2016,5,2589,0,19,0,188551
2016,5,2636,0,27,0,188551
2016,5,2802,0,9,0,188551
2016,5,2881,0,13,0,188551
2016,5,2900,0,21,0,188551
2016,5,3054,0,27,0,188551
2016,5,2983,0,17,0,188551
2016,5,3085,0,19,0,188551
2016,5,3086,0,17,0,188551
2016,5,3099,0,9,0,188551
2016,5,3154,0,57,0,188551
2016,5,3288,0,11,0,188551
2016,5,3326,0,17,0,188551
2016,5,3376,0,7,0,188551
2016,5,3394,0,25,0,188551
2016,5,3690,0,53,0,188551
2016,5,3707,0,21,0,188551
2016,5,3716,0,37,0,188551
2016,5,3781,0,17,0,188551
2016,5,3928,0,13,0,188551
2016,5,3954,0,31,0,188551
2016,5,4128,53.88962391942657,17,1,188551
2016,5,4196,0,21,0,188551
2016,5,4224,0,17,0,188551
2016,5,4298,0,65,0,188551
2016,5,4324,0,11,0,188551
2016,5,4536,0,7,0,188551
2016,5,4657,0,13,0,188551
2016,5,4721,0,25,0,188551
2016,5,4774,76.73916068541594,61,1,188551
2016,5,4864,0,7,0,188551
2016,5,5025,51.190213448937556,47,3,188551
2016,5,5079,10.590556585348155,73,2,188551
2016,5,5134,0,11,0,188551
2016,5,5202,1379.1433775853584,123,21,188551
2016,5,5277,0,15,0,188551
2016,5,5285,0,11,0,188551
2016,5,5440,0,15,0,188551
2016,5,5542,0,17,0,188551
2016,5,5570,0,7,0,188551
2016,5,5745,95.96728803574456,17,1,188551
2016,5,5696,400.4042418025916,53,7,188551
2016,5,5810,0,17,0,188551
2016,5,5890,0,21,0,188551
2016,5,5897,0,15,0,188551
2016,5,5938,0,23,0,188551
2016,5,5957,0,13,0,188551
2016,5,6142,51.89489172559878,13,1,188551
2016,5,6097,0,7,0,188551
2016,5,6135,8.622876795879765,15,2,188551
2016,5,6164,0,13,0,188551
2016,5,6191,0,23,0,188551
2016,5,6192,0,37,0,188551
2016,5,6221,51.4922889087092,25,2,188551
2016,5,6265,359.6021094675405,23,4,188551
2016,5,6296,20.20429624520515,31,1,188551
2016,5,6326,0,7,0,188551
2016,5,6352,0,15,0,188551
2016,5,6417,0,11,0,188551
2016,5,6431,398.7257015456082,41,7,188551
2016,5,6497,0,7,0,188551
2016,5,6535,84.44563093821091,21,3,188551
2016,5,6581,0,43,0,188551
2016,5,6618,0,27,0,188551
2016,5,6787,0,17,0,188551
2016,5,6875,0,27,0,188551
2016,5,7119,0,41,0,188551
2016,5,7172,0,15,0,188551
2016,5,7268,169.84386633360862,17,2,188551
2016,5,7296,95.46376618523578,37,6,188551
2016,5,7329,0,11,0,188551
2016,5,7341,0,15,0,188551
2016,5,7343,0,13,0,188551
2016,5,7357,0,17,0,188551
2016,5,7494,19.932133215549367,21,1,188551
2016,5,7502,50.09563390360068,53,1,188551
2016,5,7696,0,25,0,188551
2016,5,9208,0,13,0,188551
2016,5,10305,523.8405082839109,49,8,188551
2016,5,10344,0,29,0,188551
2016,5,10395,0,35,0,188551
2016,5,7728,0,29,0,188551
2016,5,7807,38.56094995324267,11,1,188551
2016,5,7868,0,7,0,188551
2016,5,7895,60.38110548126757,19,2,188551
2016,5,7913,65.8780888995567,15,1,188551
2016,5,8056,0,15,0,188551
2016,5,8129,0,9,0,188551
2016,5,8192,9.126800015769572,7,1,188551
2016,5,8463,0,11,0,188551
2016,5,8534,0,15,0,188551
2016,5,8577,128.84499382299003,51,9,188551
2016,5,8704,0,13,0,188551
2016,5,8869,140.06876210278864,35,2,188551
2016,5,8944,0,19,0,188551
2016,5,9126,0,21,0,188551
2016,5,9349,0,13,0,188551
2016,5,9600,66.3438890589229,55,3,188551
2016,5,9796,0,15,0,188551
2016,5,9798,167.35909521306976,41,6,188551
2016,5,9871,409.00545257105,55,4,188551
2016,5,9925,0,17,0,188551
2016,5,9972,55.56271070519179,9,1,188551
2016,5,10002,40.025062332794846,49,5,188551
2016,5,10083,0,15,0,188551
2016,5,10166,0,27,0,188551
2016,5,10201,0,7,0,188551
2016,5,10228,0,17,0,188551
2016,5,10234,15.819236518705605,25,1,188551
2016,5,10585,795.0690521004344,37,8,188551
2016,5,11198,131.77337160957998,43,5,188551
2016,5,11469,0,9,0,188551
2016,5,11500,165.57136523776907,19,3,188551
2016,5,11524,835.714788202466,73,25,188551
2016,5,11639,72.6116819338898,31,2,188551
2016,5,11763,0,9,0,188551
2016,5,11766,20.564283598079353,25,1,188551
2016,5,11894,0,29,0,188551
2016,5,11990,50.885707307181235,37,1,188551
2016,5,12092,788.4239702275376,33,8,188551
2016,5,12266,118.93792594372655,21,3,188551
2016,5,12430,0,11,0,188551
2016,5,12793,0,9,0,188551
2016,5,12657,0,23,0,188551
2016,5,12804,6.273898010655314,55,1,188551
2016,5,13003,0,49,0,188551
2016,5,13138,5.88112252075715,29,1,188551
2016,5,13189,140.86653091325908,13,3,188551
2016,5,13468,0,19,0,188551
2016,5,13475,0,13,0,188551
2016,5,13486,0,13,0,188551
2016,5,13522,424.2073233537929,29,6,188551
2016,5,13790,28.70484519743888,33,2,188551
2016,5,13817,0,25,0,188551
2016,5,13830,0,9,0,188551
2016,5,13852,0,13,0,188551
2016,5,13868,0,35,0,188551
2016,5,13881,755.5482227303115,47,11,188551
2016,5,14020,28.02995906506685,27,2,188551
2016,5,14124,0,35,0,188551
2016,5,14219,0,55,0,188551
2016,5,14363,574.0713800930589,57,9,188551
2016,5,14418,4.790909730336413,27,1,188551
2016,5,14421,171.55116730863736,27,11,188551
2016,5,14459,84.52964887469577,9,1,188551
2016,5,14626,0,25,0,188551
2016,5,14682,0,17,0,188551
2016,5,14738,0,7,0,188551
2016,5,14756,0,37,0,188551
2016,5,14967,0,15,0,188551
2016,5,15002,0,9,0,188551
2016,5,15030,84.9894497169959,25,2,188551
2016,5,15052,0,57,0,188551
2016,5,15293,0,29,0,188551
2016,5,15134,0,13,0,188551
2016,5,15154,133.77884608518733,15,2,188551
2016,5,15178,0,13,0,188551
2016,5,15219,0,25,0,188551
2016,5,15253,0,7,0,188551
2016,5,15476,76.60953191695809,31,2,188551
2016,5,15531,47.472925829120754,31,1,188551
2016,5,15563,0,29,0,188551
2016,5,15615,0,15,0,188551
2016,5,15700,0,9,0,188551
2016,5,15711,313.69862170015693,33,3,188551
2016,5,15743,361.48658741748704,23,4,188551
2016,5,15752,443.78607219519364,41,6,188551
2016,5,15770,0,11,0,188551
2016,5,15790,0,11,0,188551
2016,5,15913,12.526515436791701,21,2,188551
2016,5,15971,0,25,0,188551
2016,5,15977,0,23,0,188551
2016,5,15996,0,21,0,188551
2016,5,16022,0,23,0,188551
2016,5,16025,61.314909664122304,109,8,188551
2016,5,16060,0,13,0,188551
2016,5,16091,29.538690503438254,33,2,188551
2016,5,16113,0,15,0,188551
2016,5,16140,0,29,0,188551
2016,5,16171,0,7,0,188551
2016,5,16195,0,11,0,188551
2016,5,16257,2393.207202464996,81,17,188551
2016,5,16284,0,11,0,188551
2016,5,16366,0,9,0,188551
2016,5,16407,0,9,0,188551
2016,5,16531,0,15,0,188551
2016,5,16573,588.6908902338376,23,6,188551
2016,5,16577,0,9,0,188551
2016,5,16603,0,23,0,188551
2016,5,16626,0,21,0,188551
2016,5,16707,0,27,0,188551
2016,5,16726,0,19,0,188551
2016,5,16735,30.061673047407893,9,1,188551
2016,5,16783,0,9,0,188551
2016,5,16798,0,15,0,188551
2016,5,16854,115.20792768050688,21,2,188551
2016,5,16878,203.7082950057966,31,3,188551
2016,5,16885,749.5753117305874,47,8,188551
2016,5,16999,0,11,0,188551
2016,5,17025,0,45,0,188551
2016,5,17198,108.4592978359483,17,1,188551
2016,5,17245,16.156111200669876,15,1,188551
2016,5,17330,548.5217840571873,31,7,188551
2016,5,17345,0,11,0,188551
2016,5,17400,44.31640668111688,27,1,188551
2016,5,17457,0,25,0,188551
2016,5,17504,0,13,0,188551
2016,5,17526,1957.464683945005,61,14,188551
2016,5,17601,0,13,0,188551
2016,5,17616,0,9,0,188551
2016,5,17793,19.529842301914552,23,1,188551
2016,5,17813,0,35,0,188551
2016,5,17837,1394.8279975211603,63,14,188551
2016,5,17844,0,13,0,188551
2016,5,17903,0,7,0,188551
2016,5,17934,126.08921026371002,17,1,188551
2016,5,18055,0,21,0,188551
2016,5,18471,0,11,0,188551
2016,5,18452,36.2890720594133,15,1,188551
2016,5,18516,0,23,0,188551
2016,5,18559,0,15,0,188551
2016,5,18575,329.8545740367555,35,4,188551
2016,5,18782,0,19,0,188551
2016,5,18845,0,11,0,188551
2016,5,18876,0,31,0,188551
2016,5,18884,0,13,0,188551
2016,5,18892,111.83457505590802,7,1,188551
2016,5,18912,5.317228915426135,23,1,188551
2016,5,18994,108.30283573055466,23,2,188551
2016,5,19045,0,11,0,188551
2016,5,19189,84.35865916930024,33,1,188551
2016,5,19213,209.72924786982912,37,3,188551
2016,5,19222,424.6135375612352,39,4,188551
2016,5,19251,0,59,0,188551
2016,5,19252,0,9,0,188551
2016,5,19323,909.0798790795669,71,11,188551
2016,5,19444,0,9,0,188551
2016,5,19533,0,39,0,188551
2016,5,19646,387.8872252109002,47,5,188551
2016,5,19780,0,7,0,188551
2016,5,19901,0,19,0,188551
2016,5,19966,0,11,0,188551
2016,5,19982,0,7,0,188551
2016,5,20166,0,13,0,188551
2016,5,20217,0,13,0,188551
2016,5,20268,106.7683228931922,39,1,188551
2016,5,20282,0,35,0,188551
2016,5,20325,0,17,0,188551
2016,5,20613,38.913142237500146,57,1,188551
2016,5,20616,0,13,0,188551
2016,5,20697,0,35,0,188551
2016,5,20700,0,51,0,188551
2016,5,20753,0,11,0,188551
2016,5,20760,0,23,0,188551
2016,6,1361,0,149,0,188551
2016,6,2026,961.5493903173168,127,19,188551
2016,6,2178,0,87,0,188551
2016,6,2191,1504.2762395852055,201,22,188551
2016,6,2244,0,57,0,188551
2016,6,2548,0,43,0,188551
2016,6,2919,0,67,0,188551
2016,6,2978,0,41,0,188551
2016,6,3008,53.05133635339292,109,1,188551
2016,6,3202,175.93671862939897,193,7,188551
2016,6,3881,2297.2573553306656,289,33,188551
2016,6,4014,0,65,0,188551
2016,6,4933,1533.1335771699485,191,28,188551
2016,6,5361,40.03989150227301,83,3,188551
2016,6,6356,944.705655399419,149,11,188551
2016,6,6665,409.0271185984714,71,9,188551
2016,6,6863,0,47,0,188551
2016,6,7044,799.1486212890777,85,13,188551
2016,6,7217,227.336640602769,37,6,188551
2016,6,7247,0,27,0,188551
2016,6,7397,144.69207809888454,57,7,188551
2016,6,8150,948.6786232075939,133,15,188551
2016,6,7732,772.0893434606303,77,8,188551
2016,6,7874,4.972955034718381,39,1,188551
2016,6,8668,136.9805243025583,75,6,188551
2016,6,8732,343.20157049303714,43,5,188551
2016,6,9269,202.96306951809504,49,3,188551
2016,6,9314,20.82548504361088,41,1,188551
2016,6,9989,640.7110819583362,69,9,188551
2016,6,10295,90.98317049737699,59,7,188551
2016,6,10510,1388.6191969059128,307,32,188551
2016,6,10735,2279.1758665896136,133,24,188551
2016,6,10832,2641.9644272225964,117,27,188551
2016,6,12218,1121.8515669742874,91,17,188551
2016,6,12441,481.7403827270511,125,15,188551
2016,6,12731,0,25,0,188551
2016,6,12847,0,45,0,188551
2016,6,13326,429.58263125504806,69,20,188551
2016,6,14045,832.5552028865444,75,12,188551
2016,6,14438,0,115,0,188551
2016,6,14696,301.0053179343705,57,6,188551
2016,6,14936,72.7571250551579,75,1,188551
2016,6,14968,290.10929714787954,37,4,188551
2016,6,15093,432.74812473224927,75,6,188551
2016,6,15361,0,105,0,188551
2016,6,15428,1208.6750425967614,131,20,188551
2016,6,15448,0,41,0,188551
2016,6,15618,0,41,0,188551
2016,6,16183,2253.2928789828807,145,20,188551
2016,6,16349,152.9555258054446,43,2,188551
2016,6,16468,2412.970904802943,109,24,188551
2016,6,16629,5026.0969943814835,197,35,188551
2016,6,16632,136.99207879549172,89,9,188551
2016,6,16660,109.53892889534104,29,3,188551
2016,6,16669,164.47777994743342,73,2,188551
2016,6,16849,529.9622040608626,109,8,188551
2016,6,16877,525.8160659843106,79,8,188551
2016,6,16960,649.5004063458916,213,7,188551
2016,6,17067,118.74145588344412,47,2,188551
2016,6,17426,2429.773554871656,95,14,188551
2016,6,17487,2239.3216439924254,95,17,188551
2016,6,17748,1765.8171143274128,91,18,188551
2016,6,17807,3833.318787110958,131,28,188551
2016,6,18300,350.2953780591914,45,5,188551
2016,6,18307,3600.895291939631,209,37,188551
2016,6,18524,0,29,0,188551
2016,6,18944,347.4777909579126,57,4,188551
2016,6,19619,2357.9870112242993,179,18,188551
2016,6,19622,844.1246488171323,61,9,188551
2016,6,20036,484.77091819984724,95,7,188551
2016,6,20215,71.04621884344301,79,1,188551
2016,7,1814,561.2102525355381,317,13,188551
2016,7,1985,6275.439435842691,679,110,188551
2016,7,2101,2826.4642304762338,337,46,188551
