focal_reach,stream_order,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2021
18944,6,250.35117043254604,347.4777909579126,420.16876012553325,112.94833996237816,118.05570054239926,314.7788025666489
19619,6,2224.6682010011946,2357.9870112242993,2221.789117997123,2825.5582208176156,3960.084978432246,1112.6315598476494
19622,6,761.5339268922545,844.1246488171323,737.5758533054707,855.74399536745,1365.0116983144774,371.8216902635794
20036,6,500.05005000646105,484.77091819984724,454.5053846320105,591.811767580087,1027.10063662192,227.5334002667068
20215,6,72.13747806275681,71.04621884344301,70.28757034802872,88.08925052776115,139.0829582220949,41.261618976911734
1814,7,583.0942882471902,561.2102525355381,1454.9521107922722,608.1862729183977,915.6681641246839,75.69709405651304
1985,7,6495.5617011236545,6275.439435842691,13531.53451986613,8210.979477015986,11109.88381225388,1024.0799048633492
2101,7,2946.843000172263,2826.4642304762338,5457.339613663778,4584.360719145306,4808.249053704612,543.3240085364816
10822,7,5064.544049467213,4971.287817105928,6259.710056093865,5592.827104566091,8263.424913636582,2895.314143194524
12002,7,10637.377318731144,11999.795293854284,28297.042416142795,14381.657804942588,17600.702811518368,16185.032526368386
12103,7,1467.8965758769993,1739.2557893612363,3379.8636442394823,1682.9343412129338,2963.0434952234,156.25091829634138
12267,7,19393.104098276,25716.976955519815,33267.90173420224,18163.048009518774,23499.941136548245,17942.301930108864
13074,7,16018.606480232624,17367.40120417571,35019.55484995691,20200.629856357653,26176.991853856132,19561.2583939097
15014,7,365.27760446480943,369.5501213972146,597.6492478028085,616.0788065336727,658.7262131713758,68.1384776108534
16892,7,12597.944551873992,13670.361301907738,13177.270310673477,13525.475106945287,20908.152859374197,7202.491361619508
16917,7,11914.752184272053,15541.916793862289,17917.480673922677,10845.751668448436,15349.632545681316,13045.3533012219
17129,7,4119.650254700046,6140.109644222967,7542.642669077745,2771.269165802346,3207.314417032515,4788.629689015967
17137,7,1598.4408595396412,2326.79796016438,2759.0123519177864,1242.121636425837,1709.9195598814395,1750.374019780956
17217,7,1548.7287766422944,2293.0275754433737,2964.4741879258786,851.4163728998858,981.4094453962339,2873.726384302914
17257,7,5154.593561835038,5251.978271393826,4693.583316815555,6091.656267198112,9112.151373968489,2423.6743341191072
17642,7,4638.65869761061,6743.328887187346,8310.589753633945,2441.6825967444042,3136.9838320453896,8052.179009359608
17942,7,6431.135502112505,7560.659241361239,8100.989710582256,7786.09461976006,11267.015166591395,4199.3454551190225
