number,year,indiv,repunit,collection,PofZ,n_miss_loci,TF_YEAR_ID,FishID,QC_or_RR
20293,2017,KLYUTF17_0008,upper,Blind_CK,3.61684e-4,31,KLYUTF17,8,NA
20294,2017,KLYUTF17_0008,upper,Tincup_Creek,0.001076496,31,KLYUTF17,8,NA
20295,2017,KLYUTF17_0008,upper,Yukon_R_Mainstem,0.001356631,31,KLYUTF17,8,NA
20296,2017,KLYUTF17_0008,upper,Tatchun_CK,0.001306916,31,KLYUTF17,8,NA
20297,2017,KLYUTF17_0008,upper,Nordenskiold_R,1.84178e-4,31,KLYUTF17,8,NA
20298,2017,KLYUTF17_0008,upper,Little_Salmon_R,2.51662e-4,31,KLYUTF17,8,NA
20299,2017,KLYUTF17_0008,upper,Big_Salmon_R,1.10083e-4,31,KLYUTF17,8,NA
20300,2017,KLYUTF17_0008,upper,Nisutlin_R,6.20425e-4,31,KLYUTF17,8,NA
20301,2017,KLYUTF17_0008,upper,Teslin_R,0.050952166,31,KLYUTF17,8,NA
20302,2017,KLYUTF17_0008,upper,Morley_R,0.003810754,31,KLYUTF17,8,NA
20303,2017,KLYUTF17_0008,upper,Takhini_R,5.51e-5,31,KLYUTF17,8,NA
20304,2017,KLYUTF17_0008,upper,Whitehorse,0.003312008,31,KLYUTF17,8,NA
20305,2017,KLYUTF17_0009,lower,Andreafsky_R,6.83e-7,10,KLYUTF17,9,NA
20306,2017,KLYUTF17_0009,lower,Anvik_R,4.81e-6,10,KLYUTF17,9,NA
20307,2017,KLYUTF17_0009,lower,Nulato_R,3.74e-6,10,KLYUTF17,9,NA
20308,2017,KLYUTF17_0009,lower,Gisasa_R,0.003165537,10,KLYUTF17,9,NA
20309,2017,KLYUTF17_0009,lower,Kateel_R,6.99116e-4,10,KLYUTF17,9,NA
20310,2017,KLYUTF17_0009,lower,Tozitna_R,0.001031921,10,KLYUTF17,9,NA
20311,2017,KLYUTF17_0009,middle,S_Fk_Koyukuk_R,4.38e-6,10,KLYUTF17,9,NA
20312,2017,KLYUTF17_0009,middle,Henshaw_Creek,6.85e-6,10,KLYUTF17,9,NA
20313,2017,KLYUTF17_0009,middle,Kantishna_R,0.004314355,10,KLYUTF17,9,NA
20314,2017,KLYUTF17_0009,middle,Chatanika_R,2.57e-6,10,KLYUTF17,9,NA
20315,2017,KLYUTF17_0009,middle,Chena_R,1.3e-5,10,KLYUTF17,9,NA
20316,2017,KLYUTF17_0009,middle,Salcha_R,0.003447503,10,KLYUTF17,9,NA
20317,2017,KLYUTF17_0009,middle,Goodpaster_R,2.86e-6,10,KLYUTF17,9,NA
20318,2017,KLYUTF17_0009,middle,Beaver_Ck,0.002987176,10,KLYUTF17,9,NA
20319,2017,KLYUTF17_0009,middle,Chandalar_R,4.12e-5,10,KLYUTF17,9,NA
20320,2017,KLYUTF17_0009,middle,Sheenjek_R,1.36e-5,10,KLYUTF17,9,NA
20321,2017,KLYUTF17_0009,middle,Coleen_R,8.07e-6,10,KLYUTF17,9,NA
20322,2017,KLYUTF17_0009,upper,Kandik_R,5.32e-6,10,KLYUTF17,9,NA
20323,2017,KLYUTF17_0009,upper,Chandindu_R,1.69e-5,10,KLYUTF17,9,NA
20324,2017,KLYUTF17_0009,upper,Klondike_R,1.64e-5,10,KLYUTF17,9,NA
20325,2017,KLYUTF17_0009,upper,Porcupine_R,5.04145e-4,10,KLYUTF17,9,NA
