focal_reach,stream_order,Year_2015,Year_2016,Year_2018,Year_2021
3004,3,0,0,0,0
3009,3,0,0,0,0
3011,3,0,0,0,0
3015,3,0,0,0,0
3016,3,0,0,0,0
3018,3,0,0,0,0
3019,3,0,0,0,0
3021,3,0,0,0,0
3024,3,0,0,0,0
3025,3,0,0,0,0
3034,3,0,0,0,0
3036,3,0,0,0,0
3039,3,0,0,0,0
3040,3,0,0,0,0
3043,3,0,0,0,0
3044,3,0,0,0,0
3045,3,0,0,0,0
3046,3,0,0,0,0
3048,3,0,0,0,0
3062,3,0,0,0,0
3063,3,0,0,0,0
3065,3,0,0,0,0
3070,3,0,0,0,0
3072,3,0,0,0,0
3073,3,0,0,0,0
3074,3,0,0,0,0
3075,3,0,0,0,0
3090,3,0,0,0,0
3092,3,0,0,0,0
3097,3,0,0,0,0
3101,3,0,0,0,0
3107,3,0,0,0,0
3109,3,0,0,0,0
3111,3,0,0,0,0
3112,3,0,0,0,0
3115,3,0,0,0,0
3121,3,0,0,0,0
3122,3,0,0,0,0
3124,3,0,0,0,0
3126,3,0,0,0,0
3129,3,0,0,0,0
3130,3,0,0,0,0
3132,3,0,0,0,0
3136,3,0,0,0,0
3139,3,0,0,0,0
3140,3,0,0,0,0
3141,3,0,0,0,0
3142,3,0,0,0,0
3147,3,0,0,0,0
3150,3,0,0,0,0
3151,3,0,0,0,0
3156,3,0,0,0,0
3159,3,0,0,0,0
3167,3,0,0,0,0
3172,3,0,0,0,0
3173,3,0,0,0,0
3174,3,0,0,0,0
3177,3,0,0,0,0
3180,3,0,0,0,0
3184,3,0,0,0,0
3185,3,0,0,0,0
3199,3,0,0,0,0
3200,3,0,0,0,0
3201,3,0,0,0,0
3203,3,0,0,0,0
3209,3,0,0,0,0
3210,3,0,0,0,0
3212,3,0,0,0,0
3220,3,0,0,0,0
3221,3,0,0,0,0
3223,3,0,0,0,0
3224,3,0,0,0,0
3229,3,0,0,0,0
3232,3,0,0,0,0
3239,3,0,0,0,0
3255,3,0,0,0,0
3256,3,0,0,0,0
3257,3,0,0,0,0
3260,3,0,0,0,0
3264,3,0,0,0,0
3269,3,0,0,0,0
3280,3,0,0,0,0
3281,3,0,0,0,0
3282,3,0,0,0,0
3289,3,0,0,0,0
3293,3,0,0,0,0
3296,3,0,0,0,0
3299,3,0,0,0,0
3313,3,0,0,0,0
3316,3,0,0,0,0
3320,3,0,0,0,0
3322,3,0,0,0,0
3323,3,0,0,0,0
3324,3,0,0,0,0
3327,3,0,0,0,0
3328,3,0,0,0,0
3333,3,0,0,0,0
3334,3,0,0,0,0
3336,3,0,0,0,0
3345,3,0,0,0,0
3347,3,0,0,0,0
3348,3,0,0,0,0
3349,3,0,0,0,0
3353,3,0,0,0,0
3359,3,0,0,0,0
3362,3,0,0,0,0
3364,3,0,0,0,0
3365,3,0,0,0,0
3366,3,0,0,0,0
3367,3,0,0,0,0
3368,3,0,0,0,0
3377,3,0,0,0,0
3378,3,0,0,0,0
3384,3,0,0,0,0
3389,3,0,0,0,0
3390,3,0,0,0,0
3391,3,0,0,0,0
3397,3,0,0,0,0
3398,3,0,0,0,0
3399,3,0,0,0,0
3402,3,0,0,0,0
