FishID,natal_iso,natal_isose,Date,OtoNum,DOY,Days_into_run,Prop_run,Year,Watershed,dailyCPUEprop,OtoPropDaily,COratio,Strat,Quartile
2018_kk_139,0.709202592,6.36e-5,6/21/18,139,172,21,0.396226415,2018,Kuskokwim,0.013094981028472712,0.012345679012345678,1.0606934633062897,0.9633808860109874,Q2
2018_kk_140,0.708648382,7.6e-5,6/21/18,140,172,21,0.396226415,2018,Kuskokwim,0.013094981028472712,0.012345679012345678,1.0606934633062897,0.9633808860109874,Q2
2018_kk_141,0.707221472,6.97e-5,6/21/18,141,172,21,0.396226415,2018,Kuskokwim,0.013094981028472712,0.012345679012345678,1.0606934633062897,0.9633808860109874,Q2
2018_kk_145,0.704882064,1.28612e-4,6/22/18,145,173,22,0.41509434,2018,Kuskokwim,0.02060647191288521,0.024691358024691357,0.8345621124718511,0.9633808860109874,Q2
2018_kk_146,0.705875182,9.02e-5,6/22/18,146,173,22,0.41509434,2018,Kuskokwim,0.02060647191288521,0.024691358024691357,0.8345621124718511,0.9633808860109874,Q2
2018_kk_149_redo,0.709544489,1.7301e-4,6/22/18,149,173,22,0.41509434,2018,Kuskokwim,0.02060647191288521,0.024691358024691357,0.8345621124718511,0.9633808860109874,Q2
2018_kk_151_redo,0.708349242,1.97261e-4,6/22/18,151,173,22,0.41509434,2018,Kuskokwim,0.02060647191288521,0.024691358024691357,0.8345621124718511,0.9633808860109874,Q2
2018_kk_152,0.709528106,1.63362e-4,6/22/18,152,173,22,0.41509434,2018,Kuskokwim,0.02060647191288521,0.024691358024691357,0.8345621124718511,0.9633808860109874,Q2
2018_kk_155_redo,0.706130435,1.79282e-4,6/22/18,155,173,22,0.41509434,2018,Kuskokwim,0.02060647191288521,0.024691358024691357,0.8345621124718511,0.9633808860109874,Q2
2018_kk_157,0.70664502,1.02351e-4,6/23/18,157,174,23,0.433962264,2018,Kuskokwim,0.06225128790449454,0.06172839506172839,1.0084708640528115,0.9633808860109874,Q2
2018_kk_161,0.709680985,9.4e-5,6/23/18,161,174,23,0.433962264,2018,Kuskokwim,0.06225128790449454,0.06172839506172839,1.0084708640528115,0.9633808860109874,Q2
2018_kk_164,0.706330863,9.75e-5,6/23/18,164,174,23,0.433962264,2018,Kuskokwim,0.06225128790449454,0.06172839506172839,1.0084708640528115,0.9633808860109874,Q2
2018_kk_167,0.710806135,5.86e-5,6/23/18,167,174,23,0.433962264,2018,Kuskokwim,0.06225128790449454,0.06172839506172839,1.0084708640528115,0.9633808860109874,Q2
2018_kk_169,0.707840858,4.28e-5,6/23/18,169,174,23,0.433962264,2018,Kuskokwim,0.06225128790449454,0.06172839506172839,1.0084708640528115,0.9633808860109874,Q2
2018_kk_171,0.708189084,9.96e-5,6/23/18,171,174,23,0.433962264,2018,Kuskokwim,0.06225128790449454,0.06172839506172839,1.0084708640528115,0.9633808860109874,Q2
2018_kk_172,0.709408319,1.14822e-4,6/23/18,172,174,23,0.433962264,2018,Kuskokwim,0.06225128790449454,0.06172839506172839,1.0084708640528115,0.9633808860109874,Q2
