"basin","reachid","stream_order","observed_cv","n_years"
"Kuskokwim",14713,3,0.0879677822203911,6
"Kuskokwim",14781,3,0.0869706223661032,6
"Kuskokwim",14836,4,0.0858337021047001,6
"Kuskokwim",14868,3,0.0977588710537773,6
"Kuskokwim",14884,3,0.0984840629861986,6
"Kuskokwim",14947,3,0.106659359037902,6
"Kuskokwim",14974,3,0.088939278166898,6
"Kuskokwim",14989,4,0.0882408487071985,6
"Kuskokwim",14996,3,0.101150046940032,6
"Kuskokwim",15047,3,0.0885402898884441,6
"Kuskokwim",15083,3,0.0900614376608702,6
"Kuskokwim",15100,3,0.075549363813238,6
"Kuskokwim",15115,3,0.073482094795408,6
"Kuskokwim",15143,3,0.0814743708714999,6
"Kuskokwim",15253,3,0.077071291907339,6
"Kuskokwim",15287,3,0.0862578313440777,6
"Kuskokwim",15303,4,0.0970833567768572,6
"Kuskokwim",15305,3,0.0884748847625603,6
"Kuskokwim",15337,4,0.10208659671187,6
"Kuskokwim",15354,3,0.0946695202567909,6
"Kuskokwim",15401,3,0.0981665579488784,6
"Kuskokwim",15408,3,0.0874922215031849,6
"Kuskokwim",15429,3,0.0883505208438758,6
"Kuskokwim",15442,3,0.109186316610375,6
"Kuskokwim",15450,3,0.0860049598053954,6
"Kuskokwim",15451,3,0.117445524273389,6
"Kuskokwim",15465,3,0.0859398298209048,6
"Kuskokwim",15482,4,0.0865094056433246,6
"Kuskokwim",15503,3,0.219647231765957,6
"Kuskokwim",15509,3,0.084839629876229,6
"Kuskokwim",15565,3,0.144937676518911,6
"Kuskokwim",15574,3,0.0866238017854594,6
"Kuskokwim",15582,4,0.083028981817507,6
"Kuskokwim",15599,3,0.13178434279359,6
"Kuskokwim",15600,3,0.106874200490479,6
"Kuskokwim",15615,3,0.0873301707513587,6
"Kuskokwim",15636,3,0.288801132748436,6
"Kuskokwim",15645,4,0.079826391337034,6
"Kuskokwim",15665,4,0.116383438376272,6
"Kuskokwim",15668,3,0.0929777050830986,6
"Kuskokwim",15669,4,0.087293940029062,6
"Kuskokwim",15673,5,0.0294523082907373,6
"Kuskokwim",15675,5,0.0889910659344111,6
"Kuskokwim",15683,3,0.0899591559116021,6
"Kuskokwim",15689,5,0.079047186734752,6
"Kuskokwim",15700,3,0.101437774533132,6
"Kuskokwim",15726,5,0.052892749611786,6
"Kuskokwim",15739,6,0.0367992632174712,6
"Kuskokwim",15773,3,0.140436478407374,6
"Kuskokwim",15819,3,0.348948646838078,6
"Kuskokwim",15821,4,0.183276821801116,6
"Kuskokwim",15828,3,0.108316101373919,6
"Kuskokwim",15835,4,0.0624691596998071,6
"Kuskokwim",15841,4,0.0460923517650961,6
"Kuskokwim",15853,3,0.32066870667337,6
"Kuskokwim",15902,3,0.205514642168155,6
"Kuskokwim",15918,5,0.161123358244688,6
"Kuskokwim",15932,6,0.19194155179799,6
"Kuskokwim",15941,3,0.0889173485767774,6
"Kuskokwim",15980,5,0.226179265219252,6
"Kuskokwim",16036,3,1.57311865346895,6
"Kuskokwim",16037,3,0.0992329978657434,6
"Kuskokwim",16045,3,0.49452784842621,6
"Kuskokwim",16056,4,0.1217765089053,6
"Kuskokwim",16083,3,0.383183289273536,6
"Kuskokwim",16094,3,0.134875462909765,6
"Kuskokwim",16103,3,0.0963401809455359,6
"Kuskokwim",16159,3,0.0984042994708672,6
"Kuskokwim",16174,4,1.94814669519852,6
"Kuskokwim",16179,3,0.199820334694655,6
"Kuskokwim",16197,3,0.0956340269561314,6
"Kuskokwim",16205,3,0.271641838834597,6
"Kuskokwim",16239,3,1.79414787974516,6
"Kuskokwim",16266,3,0.0734757998408626,6
"Kuskokwim",16279,3,1.61986649645877,6
"Kuskokwim",16285,3,0.354554506044185,6
"Kuskokwim",16303,3,0.0812944181684076,6
"Kuskokwim",16441,4,0.238735722092408,6
"Kuskokwim",16455,3,0.603641914998032,6
"Kuskokwim",16491,3,1.1079033559421,6
"Kuskokwim",16495,4,0.375890340944961,6
"Kuskokwim",16496,3,0.0940363906513388,6
"Kuskokwim",16526,3,0.0918768699215997,6
"Kuskokwim",16537,3,0.0866594728634873,6
"Kuskokwim",16634,3,1.37753017968208,6
"Kuskokwim",16649,3,1.55630161558617,6
"Kuskokwim",16665,4,1.55572627587913,6
"Kuskokwim",16675,3,1.55497174340532,6
"Kuskokwim",16693,3,1.55185803118654,6
"Kuskokwim",16697,3,1.55384123116273,6
"Kuskokwim",16707,3,1.55160911736531,6
"Kuskokwim",16724,4,0.596278881537723,6
"Kuskokwim",16726,3,1.55041537878633,6
"Kuskokwim",16747,3,1.57279802400247,6
"Kuskokwim",16787,3,0.761306487011923,6
"Kuskokwim",16808,3,1.61923911181933,6
"Kuskokwim",16812,3,0.5073451695145,6
"Kuskokwim",16843,3,1.22018975534154,6
"Kuskokwim",16857,3,0.457758015174875,6
"Kuskokwim",16938,3,0.702197952977075,6
"Kuskokwim",16948,3,0.671823584518626,6
"Kuskokwim",16988,3,0.7170222043371,6
"Kuskokwim",16994,3,0.74282639260507,6
"Yukon",9,4,0.305291681446017,4
"Yukon",33,4,0.335171235500397,4
"Yukon",47,4,0.269887984895558,4
"Yukon",57,4,0.410590726833056,4
"Yukon",85,4,0.289808335204574,4
"Yukon",101,4,0.266327920046638,4
"Yukon",109,4,0.302535339441156,4
"Yukon",116,5,0.288380194373453,4
"Yukon",122,4,0.297830516026999,4
"Yukon",124,5,0.257965330514465,4
"Yukon",126,5,0.271178804842095,4
"Yukon",129,4,0.308421659058978,4
"Yukon",131,5,0.26581247443706,4
"Yukon",137,4,0.27170880240046,4
"Yukon",138,4,0.256334578228838,4
"Yukon",143,4,0.282359346478464,4
"Yukon",154,4,0.257772743061384,4
"Yukon",178,4,0.256860929324,4
"Yukon",183,4,0.288441084324549,4
"Yukon",195,6,0.277238068489222,4
"Yukon",198,5,0.295938311144527,4
"Yukon",210,4,0.293263678481987,4
"Yukon",217,5,0.258907434340566,4
"Yukon",223,4,0.274760595157801,4
"Yukon",242,4,0.250986186967991,4
"Yukon",245,4,0.290145351214454,4
"Yukon",246,5,0.263322362247532,4
"Yukon",253,6,0.257775168074009,4
"Yukon",255,4,0.444674827540138,4
"Yukon",261,4,0.364399700600899,4
"Yukon",266,4,0.247579535215023,4
"Yukon",283,5,0.249622901784899,4
"Yukon",286,4,0.274543942027459,4
"Yukon",287,5,0.30538575855405,4
"Yukon",290,5,0.285454164863561,4
"Yukon",291,4,0.244003096478271,4
"Yukon",306,4,0.292838714526497,4
"Yukon",309,4,0.252167430781898,4
"Yukon",313,4,0.421562653692977,4
"Yukon",334,4,0.252977739716908,4
"Yukon",335,4,0.288497742629778,4
"Yukon",344,4,0.441374057266251,4
"Yukon",363,4,0.310768661550068,4
"Yukon",380,5,0.300148494106801,4
"Yukon",385,4,0.260377104225428,4
"Yukon",389,4,0.268161872342461,4
"Yukon",392,6,0.288663838666758,4
"Yukon",398,4,0.30952023738814,4
"Yukon",402,4,0.282238265021146,4
"Yukon",403,5,0.270876408436919,4
"Yukon",410,4,0.285415020880875,4
"Yukon",413,4,0.287238529909514,4
"Yukon",414,4,0.276514614048475,4
"Yukon",442,4,0.294296189348561,4
"Yukon",444,4,0.310201259785554,4
"Yukon",450,4,0.288024175377421,4
"Yukon",461,4,0.291822066533122,4
"Yukon",476,4,0.292896266068478,4
"Yukon",482,4,0.289416014202872,4
"Yukon",484,4,0.318338647954175,4
"Yukon",485,4,0.308755127957247,4
"Yukon",496,6,0.268293960557908,4
"Yukon",500,4,0.285377881644399,4
"Yukon",522,5,0.29045239232549,4
"Yukon",534,4,0.253080741820837,4
"Yukon",536,5,0.382009036838751,4
"Yukon",547,4,0.284258599248123,4
"Yukon",548,5,0.261315784421926,4
"Yukon",550,5,0.287976659249323,4
"Yukon",556,4,0.272727155476371,4
"Yukon",563,4,0.374116251726615,4
"Yukon",566,5,0.419012364354159,4
"Yukon",568,4,0.292342583875247,4
"Yukon",574,4,0.290054670497867,4
"Yukon",580,5,0.262782914457004,4
"Yukon",584,5,0.358100800553883,4
"Yukon",587,5,0.289109193812724,4
"Yukon",590,4,0.287791608178088,4
"Yukon",594,4,0.269598003990451,4
"Yukon",604,4,0.284543872904772,4
"Yukon",612,4,0.290130135207477,4
"Yukon",615,6,0.262249408843039,4
"Yukon",616,6,0.257924597225741,4
"Yukon",617,4,0.314727101016758,4
"Yukon",630,4,0.266240939843705,4
"Yukon",639,4,0.259777038374948,4
"Yukon",650,4,0.279399288529801,4
"Yukon",666,4,0.285092894628457,4
"Yukon",677,5,0.258580826138892,4
"Yukon",678,4,0.25790678641891,4
"Yukon",679,4,0.300305669282755,4
"Yukon",692,5,0.306691640218215,4
