"basin","reachid","stream_order","year_earlier","year_later","upstream_length_km","length_bin","mean_catchment_share","pct_change"
"Yukon",12817,6,2016,2018,601.458999473696,8,0.00289963621974822,4.52336571429118
"Yukon",12819,4,2016,2018,19.3723167272109,4,4.52974616504866e-05,-31.6149829582913
"Yukon",12820,5,2016,2018,128.851062319405,6,0.000732798482096958,16.4856670684652
"Yukon",12824,4,2016,2018,141.317821499175,6,0.000513323954583372,-33.7005153927977
"Yukon",12826,9,2016,2018,57507.8076101686,13,0.445964838153231,21.7986320091535
"Yukon",12828,4,2016,2018,86.9003267785404,6,0.000110311226455525,-74.3589511385243
"Yukon",12829,6,2016,2018,1650.2381981545,9,0.00183617267301833,28.4555314211291
"Yukon",12832,6,2016,2018,250.202449458493,7,0.000495666113575431,41.7856626749349
"Yukon",12835,6,2016,2018,383.2518803297,7,0.00059438712348076,17.2630934541135
"Yukon",12836,6,2016,2018,406.076549008926,7,0.000623583276113914,18.4052313098094
"Yukon",12837,4,2016,2018,21.250653374618,4,6.96223066010362e-05,-59.6248908784416
"Yukon",12838,4,2016,2018,29.7017463324118,4,6.36879283602428e-05,-26.4027851720421
"Yukon",12840,6,2016,2018,1664.29256719042,9,0.0018413449468966,28.5478161405557
"Yukon",12846,5,2016,2018,176.370634339221,7,0.00128508027964775,22.2470947865976
"Yukon",12847,6,2016,2018,261.451698895185,7,0.000521284651439855,42.7076592006441
"Yukon",12853,4,2016,2018,24.0051657790578,4,2.53109713228274e-05,-20.1734682330273
"Yukon",12855,4,2016,2018,51.8159044620427,5,0.00062383148120971,16.0797925189702
"Yukon",12858,4,2016,2018,33.3455134927895,5,0.000354757040929367,37.2873199800328
"Yukon",12859,4,2016,2018,10.5013121412086,3,9.02891399956569e-05,30.5039415583356
"Yukon",12860,4,2016,2018,119.917194494715,6,0.000466513902804894,-33.4912198078022
"Yukon",12861,4,2016,2018,75.2758314463354,6,0.0001769685158468,-26.5557565494317
"Yukon",12870,4,2016,2018,40.4715354733842,5,0.000349071695050414,6.34955591419229
"Yukon",12871,9,2016,2018,122499.40078408,14,0.660313780495475,4.77301524637863
"Yukon",12872,4,2016,2018,14.5988694073666,4,8.8764045235623e-05,32.1434418949082
