basin,reachid,stream_order,n_upstream_reaches,n_unit_reaches,is_outlet,in_domain,nested,mean_production,sd_production,cv,n_years,prod_2015,prod_2016,prod_2018,prod_2021
Yukon,572,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,575,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,577,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,579,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,581,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,583,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,586,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,588,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,589,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,593,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,595,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,596,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,597,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,600,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,601,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,605,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,608,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,609,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,610,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,611,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,613,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,614,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,621,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,624,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,627,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,628,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,629,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,631,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,632,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,634,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,641,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,642,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
