basin,reachid,stream_order,n_upstream_reaches,n_unit_reaches,is_outlet,in_domain,nested,mean_production,sd_production,cv,n_years,prod_2017,prod_2018,prod_2019,prod_2020,prod_2021,prod_2022
Kusko,240,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,242,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,243,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,244,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,249,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,251,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,252,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,253,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,256,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,257,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,258,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,262,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,265,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,269,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,271,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,272,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,274,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,276,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,277,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,279,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,280,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,282,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,286,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,287,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,288,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,289,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,291,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,293,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,295,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,297,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,298,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,299,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,300,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,301,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,303,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,304,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,306,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,309,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,311,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,315,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
Kusko,316,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,318,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,319,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,321,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,322,1,0,1,0,TRUE,FALSE,0,0,NA,6,0,0,0,0,0,0
Kusko,325,1,0,1,0,TRUE,TRUE,0,0,NA,6,0,0,0,0,0,0
