"basin","stream_order","reachid","absolute_cv","basin_cv","cv_ratio_to_basin","anomaly_pct"
"Kuskokwim",3,13431,0.272507562941124,0.244254784482295,1.11566929392483,11.5669293924833
"Kuskokwim",3,13434,0.190392311285948,0.244254784482295,0.779482423197932,-22.0517576802068
"Kuskokwim",3,13437,0.277083462130798,0.244254784482295,1.13440341698151,13.4403416981511
"Kuskokwim",3,13487,0.266680318637699,0.244254784482295,1.09181205683621,9.18120568362093
"Kuskokwim",3,13507,0.267458936916672,0.244254784482295,1.09499978673318,9.49997867331802
"Kuskokwim",3,13524,0.331731310520006,0.244254784482295,1.35813638706452,35.8136387064516
"Kuskokwim",3,13554,0.36162392063783,0.244254784482295,1.48051929219852,48.0519292198523
"Kuskokwim",3,13563,0.342425346526425,0.244254784482295,1.40191868606466,40.1918686064659
"Kuskokwim",3,13568,0.269307775768646,0.244254784482295,1.10256909128495,10.2569091284954
"Kuskokwim",3,13796,0.302668217222977,0.244254784482295,1.23914959481548,23.9149594815476
"Kuskokwim",3,13869,0.277333445390889,0.244254784482295,1.13542686985111,13.5426869851106
"Kuskokwim",3,13882,0.260846433872858,0.244254784482295,1.06792763313001,6.79276331300112
"Kuskokwim",3,13884,0.326169167296404,0.244254784482295,1.33536449649381,33.5364496493814
"Kuskokwim",3,13908,0.304932471529499,0.244254784482295,1.24841964580474,24.841964580474
"Kuskokwim",3,14033,0.279265884614613,0.244254784482295,1.14333844148243,14.3338441482426
"Kuskokwim",3,14055,0.279671418781452,0.244254784482295,1.14499873308203,14.4998733082033
"Kuskokwim",3,14061,0.29562658669996,0.244254784482295,1.2103205565719,21.0320556571898
"Kuskokwim",3,14113,0.280406884635853,0.244254784482295,1.14800979325823,14.800979325823
"Kuskokwim",3,14134,0.265567733307625,0.244254784482295,1.08725703723881,8.72570372388146
"Kuskokwim",3,14159,0.327072812350432,0.244254784482295,1.33906409671226,33.9064096712262
"Kuskokwim",3,14163,0.297131843526786,0.244254784482295,1.2164832068963,21.6483206896299
"Kuskokwim",3,14175,0.290734189381557,0.244254784482295,1.19029066307862,19.0290663078623
"Kuskokwim",3,14195,0.32612869052052,0.244254784482295,1.33519878110785,33.5198781107849
"Kuskokwim",3,14227,0.304871390810848,0.244254784482295,1.24816957611304,24.8169576113039
"Kuskokwim",3,14273,0.245301738284972,0.244254784482295,1.00428631850506,0.428631850506433
"Kuskokwim",3,14318,0.285341772332566,0.244254784482295,1.1682136459982,16.8213645998201
"Kuskokwim",3,14466,0.292827251684881,0.244254784482295,1.19885983934987,19.8859839349869
"Kuskokwim",3,14475,0.294550074094761,0.244254784482295,1.20591322179858,20.5913221798577
"Kuskokwim",3,14505,0.28256743358641,0.244254784482295,1.15685526564125,15.6855265641246
"Kuskokwim",3,14599,0.324207262297721,0.244254784482295,1.32733228945704,32.7332289457044
"Kuskokwim",3,14644,0.28210047710826,0.244254784482295,1.15494350584035,15.4943505840347
"Kuskokwim",3,14713,0.278063458087474,0.244254784482295,1.13841560433233,13.8415604332327
"Kuskokwim",3,14781,0.316752843474548,0.244254784482295,1.29681326057098,29.6813260570984
"Kuskokwim",3,14868,0.327286128406607,0.244254784482295,1.3399374309097,33.9937430909696
"Kuskokwim",3,14884,0.319553078982831,0.244254784482295,1.30827766448929,30.8277664489289
"Kuskokwim",3,14947,0.33863489185678,0.244254784482295,1.38640024012028,38.6400240120278
"Kuskokwim",3,14974,0.284377124470694,0.244254784482295,1.16426429506157,16.4264295061567
"Kuskokwim",3,14996,0.328175238934337,0.244254784482295,1.34357752553308,34.3577525533078
