focal_reach,stream_order,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021
3366,3,0,0,0,0,0
3367,3,0,0,0,0,0
3368,3,0,0,0,0,0
3377,3,0,0,0,0,0
3378,3,0,0,0,0,0
3384,3,0,0,0,0,0
3389,3,0,0,0,0,0
3390,3,0,0,0,0,0
3391,3,0,0,0,0,0
3397,3,0,0,0,0,0
3398,3,0,0,0,0,0
3399,3,0,0,0,0,0
3402,3,0,0,0,0,0
3408,3,0,0,0,0,0
3410,3,0,0,0,0,0
3414,3,0,0,0,0,0
3416,3,0,0,0,0,0
3417,3,0,0,0,0,0
3421,3,0,0,0,0,0
3426,3,0,0,0,0,0
3430,3,0,0,0,0,0
3436,3,40.47916596118754,44.06650902166718,62.07680289660708,36.742363812065264,39.703796902850605
3442,3,0,0,0,0,0
3451,3,0,0,0,0,0
3452,3,0,0,0,0,0
3454,3,0,0,0,0,0
3457,3,0,0,0,0,0
3458,3,0,0,0,0,0
3460,3,0,0,0,0,0
3470,3,0,0,0,0,0
3472,3,0,0,0,0,0
3482,3,34.66933689434781,40.79183571283707,43.85753115656565,25.37304629484126,27.01429474886925
3486,3,0,0,0,0,0
3488,3,0,0,0,0,0
3498,3,0,0,0,0,0
3499,3,0,0,0,0,0
3502,3,0,0,0,0,0
3507,3,0,0,0,0,0
3510,3,0,0,0,0,0
3512,3,0,0,0,0,0
3515,3,0,0,0,0,0
3520,3,0,0,0,0,0
3521,3,0,0,0,0,0
3525,3,0,0,0,0,0
3528,3,0,0,0,0,0
3529,3,0,0,0,0,0
3537,3,0,0,0,0,0
3545,3,0,0,0,0,0
3548,3,0,0,0,0,0
3552,3,0,0,0,0,0
3553,3,0,0,0,0,0
3555,3,0,0,0,0,0
3557,3,0,0,0,0,0
3561,3,0,0,0,0,0
3564,3,0,0,0,0,0
3574,3,0,0,0,0,0
3577,3,0,0,0,0,0
3578,3,0,0,0,0,0
3586,3,0,0,0,0,0
3591,3,0,0,0,0,0
3607,3,0,0,0,0,0
3609,3,0,0,0,0,0
3614,3,0,0,0,0,0
3615,3,0,0,0,0,0
3624,3,0,0,0,0,0
3627,3,0,0,0,0,0
3632,3,0,0,0,0,0
3633,3,0,0,0,0,0
3634,3,0,0,0,0,0
3649,3,0,0,0,0,0
3650,3,0,0,0,0,0
3653,3,0,0,0,0,0
3659,3,0,0,0,0,0
3667,3,0,0,0,0,0
3677,3,0,0,0,0,0
3679,3,0,0,0,0,0
3682,3,0,0,0,0,0
3686,3,83.01320224570627,88.47352119042186,143.19126826927058,88.00951200608908,78.89783325975623
3689,3,0,0,0,0,0
3692,3,0,0,0,0,0
3697,3,0,0,0,0,0
3701,3,0,0,0,0,0
3702,3,0,0,0,0,0
3704,3,0,0,0,0,0
3706,3,0,0,0,0,0
3708,3,0,0,0,0,0
3710,3,0,0,0,0,0
3714,3,0,0,0,0,0
3715,3,0,0,0,0,0
3719,3,0,0,0,0,0
3725,3,0,0,0,0,0
3733,3,54.61370066599273,67.29700678950357,48.85398727197475,29.09055127550245,46.402525656163554
3735,3,0,0,0,0,0
3742,3,0,0,0,0,0
3744,3,0,0,0,0,0
3745,3,0,0,0,0,0
3750,3,0,0,0,0,0
3751,3,0,0,0,0,0
3752,3,0,0,0,0,0
3755,3,0,0,0,0,0
3758,3,0,0,0,0,0
3776,3,0,0,0,0,0
3777,3,0,0,0,0,0
3785,3,0,0,0,0,0
3786,3,0,0,0,0,0
3788,3,0,0,0,0,0
3790,3,0,0,0,0,0
3791,3,0,0,0,0,0
3795,3,0,0,0,0,0
3796,3,0,0,0,0,0
3801,3,0,0,0,0,0
3819,3,44.28362307510278,47.6728296707673,67.62218511406519,39.89500491641105,44.389780403668794
3821,3,0,0,0,0,0
3824,3,0,0,0,0,0
3830,3,0,0,0,0,0
3833,3,0,0,0,0,0
3834,3,0,0,0,0,0
3842,3,0,0,0,0,0
3856,3,0,0,0,0,0
3859,3,0,0,0,0,0
3864,3,0,0,0,0,0
3865,3,0,0,0,0,0
3874,3,41.18294869096767,52.906100045903095,51.61013711118227,30.920863169763845,32.69510829496458
3876,3,0,0,0,0,0
3878,3,0,0,0,0,0
3883,3,0,0,0,0,0
3886,3,0,0,0,0,0
3896,3,0,0,0,0,0
3897,3,0,0,0,0,0
3908,3,0,0,0,0,0
3915,3,0,0,0,0,0
3916,3,0,0,0,0,0
3924,3,0,0,0,0,0
3927,3,0,0,0,0,0
3932,3,0,0,0,0,0
3936,3,0,0,0,0,0
3942,3,0,0,0,0,0
3951,3,44.2338737927151,47.403619511105546,67.65649484899568,39.90300276586859,44.47587659181399
3956,3,0,0,0,0,0
3957,3,0,0,0,0,0
3959,3,0,0,0,0,0
3972,3,0,0,0,0,0
3974,3,0,0,0,0,0
3982,3,0,0,0,0,0
3990,3,0,0,0,0,0
3991,3,0,0,0,0,0
3993,3,0,0,0,0,0
4004,3,0,0,0,0,0
4005,3,73.71121205468302,118.3455280992941,120.49145564138068,67.90483864645537,78.80152146793371
4007,3,0,0,0,0,0
4013,3,0,0,0,0,0
4016,3,0,0,0,0,0
4017,3,0,0,0,0,0
4019,3,0,0,0,0,0
4021,3,0,0,0,0,0
4023,3,8.14594260348888,8.649333511612124,12.897953866728418,7.70364441092526,8.076300033088422
4026,3,0,0,0,0,0
4032,3,0,0,0,0,0
4037,3,0,0,0,0,0
4041,3,0,0,0,0,0
4048,3,0,0,0,0,0
4049,3,0,0,0,0,0
4052,3,0,0,0,0,0
4055,3,0,0,0,0,0
4062,3,0,0,0,0,0
4063,3,0,0,0,0,0
4066,3,0,0,0,0,0
4073,3,0,0,0,0,0
4078,3,0,0,0,0,0
4079,3,0,0,0,0,0
4082,3,0,0,0,0,0
4096,3,0,0,0,0,0
4097,3,0,0,0,0,0
4100,3,0,0,0,0,0
4102,3,0,0,0,0,0
4106,3,0,0,0,0,0
4111,3,0,0,0,0,0
4113,3,0,0,0,0,0
4115,3,0,0,0,0,0
4124,3,0,0,0,0,0
4126,3,0,0,0,0,0
4131,3,0,0,0,0,0
4133,3,74.50274389000889,117.79849408936434,117.14074054805752,64.53920441255835,80.35660954388612
4134,3,74.39385127057045,76.23854487159761,57.9822349992106,34.965521380421315,58.99009505008374
4135,3,0,0,0,0,0
4136,3,0,0,0,0,0
4140,3,0,0,0,0,0
4144,3,0,0,0,0,0
4145,3,0,0,0,0,0
4147,3,0,0,0,0,0
4148,3,0,0,0,0,0
4157,3,51.469386519464,58.50997685345944,55.660841668344574,30.92625337177726,40.260935283736224
4159,3,0,0,0,0,0
4162,3,0,0,0,0,0
4170,3,0,0,0,0,0
4184,3,0,0,0,0,0
4185,3,0.7535656458184148,0.8817804866980007,1.097400815488303,0.6483695324651007,0.6662238033900969
4193,3,0,0,0,0,0
4206,3,0,0,0,0,0
4207,3,0,0,0,0,0
4211,3,0,0,0,0,0
4219,3,0,0,0,0,0
4221,3,0,0,0,0,0
4226,3,0,0,0,0,0
4229,3,0,0,0,0,0
4231,3,51.46437933375615,58.479196673914494,76.4736179750561,45.19402122737379,48.013357983213055
4233,3,0,0,0,0,0
4235,3,0,0,0,0,0
4244,3,0,0,0,0,0
4246,3,0,0,0,0,0
4255,3,0,0,0,0,0
4260,3,0,0,0,0,0
4266,3,0,0,0,0,0
4267,3,0,0,0,0,0
4286,3,0,0,0,0,0
4288,3,0,0,0,0,0
