original_reachid,upstream_reachid,reachbase
2598,1880,4
2598,1882,4
2598,1901,4
2598,1926,4
2598,1787,4
2598,1834,4
2598,1835,4
2598,1840,4
2598,1870,4
2598,1891,4
2598,1684,4
2598,1713,4
2598,1740,4
2598,1765,4
2598,1775,4
2598,1794,4
2598,1823,4
2598,1828,4
2598,1647,4
2598,1665,4
2598,1691,4
2598,1722,4
2598,1725,4
2598,1732,4
2598,1683,4
2598,1702,4
2598,1737,4
2598,1808,4
2598,1654,4
2598,1700,4
2598,1576,4
2598,1600,4
2598,1636,4
2598,1703,4
2598,1435,4
2598,1517,4
2598,1632,4
2598,1706,4
2598,1391,4
2598,1434,4
2598,1674,4
2598,1716,4
2598,1357,4
2598,1480,4
2598,1657,4
2598,1664,4
2598,1685,4
2598,1764,4
2598,1341,4
2598,1363,4
2598,1458,4
2598,1508,4
2598,1578,4
2598,1598,4
2598,1656,4
2598,1698,4
2598,1302,4
2598,1347,4
2598,1478,4
2598,1483,4
2598,1489,4
2598,1533,4
2598,1569,4
2598,1677,4
2598,1292,4
2598,1369,4
2598,1446,4
2598,1449,4
2598,1519,4
2598,1541,4
2598,1675,4
2598,1701,4
2598,1343,4
2598,1390,4
2598,1488,4
2598,1522,4
2598,1580,4
2598,1668,4
2598,1520,4
2598,1592,4
2598,1562,4
2598,1583,4
2086,2086,4
2086,2102,4
2086,2125,4
2086,2079,4
2086,2135,4
2086,2171,4
2086,2280,4
2086,2029,4
2086,2066,4
2086,2080,4
2086,2162,4
2086,2285,4
2086,2292,4
2086,2111,4
2086,2113,4
2086,2257,4
2086,2348,4
2086,2060,4
2086,2117,4
2086,2359,4
2086,2421,4
2086,2017,4
2086,2027,4
2086,2365,4
2086,2374,4
2086,2385,4
2086,2601,4
2086,2020,4
2086,2049,4
2086,2367,4
2086,2449,4
2086,2481,4
2086,2609,4
2086,1914,4
2086,1995,4
2086,1978,4
2086,2011,4
2086,1910,4
2086,1943,4
2086,1975,4
2086,2019,4
2086,1909,4
2086,1954,4
1923,1923,4
1923,1868,4
1923,1945,4
1923,1763,4
1923,1874,4
1923,1502,4
1923,1858,4
1923,1427,4
1923,1461,4
1923,1623,4
1923,1863,4
1923,1265,4
1923,1409,4
1923,1773,4
1923,1856,4
1923,1132,4
1923,1166,4
1923,1259,4
1923,1385,4
1923,1687,4
1923,1786,4
1923,1809,4
1923,1841,4
1923,1072,4
1923,1116,4
1923,1136,4
1923,1164,4
1923,1442,4
1923,1686,4
1923,1714,4
1923,1726,4
1923,1335,4
1923,1397,4
1923,1521,4
1923,1669,4
1923,1717,4
1923,1723,4
1923,1293,4
1923,1344,4
1923,1572,4
1923,1594,4
1923,1158,4
1923,1238,4
1923,1322,4
1923,1501,4
1923,1510,4
1923,1551,4
1923,1319,4
1923,1412,4
1923,1472,4
1923,1527,4
1923,1174,4
1923,1237,4
1923,1413,4
1923,1500,4
1923,1372,4
1923,1415,4
1923,1195,4
1923,1212,4
2190,2190,4
2190,2087,4
2190,2227,4
2190,2261,4
2190,2277,4
2190,2256,4
2190,2269,4
2190,2303,4
2190,2318,4
2190,2209,4
2190,2266,4
2190,2278,4
2190,2305,4
2190,2324,4
2190,2354,4
2190,2353,4
2190,2366,4
2190,2390,4
2190,2393,4
2190,2379,4
2190,2422,4
2190,2431,4
2190,2443,4
2190,2356,4
2190,2497,4
2190,2548,4
2190,2627,4
2190,2344,4
2190,2355,4
2190,2488,4
2190,2560,4
2190,2607,4
2190,2659,4
2190,2394,4
2190,2507,4
2190,2591,4
2190,2674,4
2190,2687,4
2190,2697,4
2190,2402,4
2190,2470,4
2190,2629,4
2190,2680,4
2190,2721,4
2190,2741,4
2190,2734,4
2190,2829,4
2190,2822,4
2190,2878,4
5358,5358,4
5358,5335,4
5358,5532,4
5358,5546,4
5358,5607,4
5358,5664,4
5358,5765,4
5358,5648,4
5358,5935,4
5358,6079,4
5358,6090,4
5358,6086,4
5358,6106,4
5358,6311,4
5358,6355,4
5358,6068,4
5358,6098,4
5358,6170,4
5358,6315,4
5358,6344,4
5358,6513,4
5358,6222,4
5358,6458,4
5358,6561,4
5358,6702,4
5358,6192,4
5358,6369,4
5358,6507,4
5358,6595,4
5358,6708,4
5358,6780,4
5358,6109,4
5358,6242,4
5358,6332,4
5358,6574,4
5358,6697,4
5358,6792,4
5358,6804,4
5358,6861,4
5358,6210,4
5358,6466,4
5358,6682,4
5358,6764,4
5358,6803,4
5358,7020,4
5358,5988,4
5358,6201,4
5358,6640,4
5358,6664,4
5358,7060,4
5358,7103,4
5358,6602,4
5358,6608,4
5358,6952,4
5358,7057,4
5358,6545,4
5358,6577,4
5358,6958,4
5358,7136,4
5358,6449,4
5358,6557,4
5358,6900,4
5358,7193,4
5358,6533,4
5358,6648,4
5358,6866,4
5358,6883,4
5358,7208,4
5358,7251,4
5358,6525,4
5358,6636,4
5358,6828,4
5358,6879,4
5358,7097,4
5358,7147,4
5358,7283,4
5358,7338,4
5358,6850,4
5358,7024,4
5358,7104,4
5358,7145,4
5358,6773,4
5358,6787,4
5358,6741,4
5358,6863,4
5358,6889,4
5358,6892,4
5358,6858,4
5358,6898,4
5358,6844,4
5358,6972,4
5363,5363,4
5363,5176,4
5363,5192,4
5363,5097,4
5363,5224,4
5363,5014,4
5363,5038,4
5363,5191,4
5363,5278,4
5363,4860,4
5363,5013,4
5363,4809,4
5363,4822,4
5363,4463,4
5363,4556,4
5363,4282,4
5363,4396,4
5363,4020,4
5363,4373,4
5363,3904,4
5363,4093,4
5363,4185,4
5363,4359,4
5363,3677,4
5363,3909,4
5363,4085,4
5363,4155,4
5363,3492,4
5363,3968,4
5363,4034,4
5363,4054,4
5363,3410,4
5363,3486,4
5363,3812,4
5363,3854,4
5363,3908,4
5363,3964,4
5363,3323,4
5363,3342,4
5363,3439,4
5363,3669,4
5363,3275,4
5363,3303,4
5363,3391,4
5363,3564,4
5363,3135,4
5363,3348,4
8365,8365,4
8365,8185,4
8365,8219,4
8365,8129,4
8365,8133,4
8365,8137,4
8365,8210,4
8365,7899,4
8365,8051,4
8365,8200,4
8365,8221,4
8365,7873,4
8365,8027,4
8365,8140,4
8365,8143,4
8365,8195,4
8365,8235,4
8365,8053,4
8365,8091,4
8365,8099,4
8365,8130,4
8365,7828,4
8365,8019,4
8365,8034,4
8365,8055,4
8365,8070,4
8365,8096,4
8365,7882,4
8365,7888,4
8365,7917,4
8365,8035,4
8365,7840,4
8365,7871,4
8365,7876,4
8365,7897,4
8365,8003,4
8365,8040,4
8365,7593,4
8365,7827,4
8365,7951,4
8365,7992,4
8365,7573,4
8365,7602,4
8365,7345,4
8365,7386,4
8365,7557,4
8365,7658,4
8365,7622,4
8365,7666,4
8365,7539,4
8365,7579,4
8365,7464,4
8365,7510,4
8365,7316,4
8365,7413,4
8365,7466,4
8365,7487,4
8365,7235,4
8365,7301,4
8365,7418,4
8365,7432,4
8365,7437,4
8365,7562,4
8365,7414,4
8365,7446,4
10286,10286,4
10286,10203,4
10286,10285,4
10286,10137,4
10286,10189,4
10286,9982,4
10286,10076,4
10286,10157,4
10286,10168,4
10286,9946,4
10286,9949,4
10286,10054,4
10286,10079,4
10286,10147,4
10286,10156,4
10286,9903,4
10286,9906,4
10286,10047,4
10286,10072,4
10286,9861,4
10286,9976,4
10286,9993,4
10286,10019,4
10286,10049,4
10286,10064,4
10286,9704,4
10286,9842,4
10286,9937,4
10286,9955,4
10286,9987,4
10286,9991,4
10286,10038,4
10286,10061,4
10286,10068,4
10286,10166,4
10286,9629,4
10286,9794,4
10286,9834,4
10286,9964,4
10286,9244,4
10286,9489,4
10286,9622,4
10286,9766,4
10286,9911,4
10286,9958,4
10286,9092,4
10286,9256,4
10286,9876,4
10286,9900,4
10286,9914,4
10286,9962,4
10286,9828,4
10286,9910,4
10286,9509,4
10286,9786,4
10286,9837,4
10286,9907,4
10286,9755,4
10286,9780,4
10286,9306,4
10286,9466,4
10286,9231,4
10286,9284,4
2287,2287,4
2287,2315,4
2287,2445,4
2287,2319,4
2287,2447,4
2287,2461,4
2287,2471,4
2287,2322,4
2287,2448,4
2287,2483,4
2287,2503,4
2287,2512,4
2287,2527,4
2287,2309,4
2287,2439,4
2287,2535,4
2287,2564,4
2287,2566,4
2287,2710,4
2287,2279,4
2287,2395,4
2287,2573,4
2287,2575,4
2287,2708,4
2287,2740,4
2287,2275,4
2287,2282,4
2287,2505,4
2287,2534,4
2287,2581,4
2287,2610,4
2287,2206,4
2287,2233,4
2287,2485,4
2287,2577,4
2287,2633,4
2287,2652,4
2287,2180,4
2287,2232,4
2287,2426,4
2287,2504,4
2287,2588,4
2287,2651,4
2287,2008,4
2287,2100,4
2287,2320,4
2287,2424,4
2287,2643,4
2287,2791,4
2287,1965,4
2287,2136,4
2287,2381,4
2287,2406,4
2287,2785,4
2287,2813,4
2287,1940,4
2287,1973,4
2287,2268,4
2287,2538,4
2287,2728,4
2287,2840,4
2287,1881,4
2287,1993,4
2287,2204,4
2287,2284,4
2287,2571,4
2287,2605,4
2287,2814,4
2287,2942,4
2287,1833,4
2287,1872,4
2287,2247,4
2287,2304,4
2287,2597,4
2287,2719,4
2287,2773,4
2287,2871,4
2287,1797,4
2287,1802,4
2287,2327,4
2287,2430,4
2287,2760,4
2287,2763,4
2287,1781,4
2287,1815,4
2287,2417,4
2287,2442,4
2287,2774,4
2287,2800,4
2287,1752,4
2287,1769,4
2287,2707,4
2287,2802,4
2287,2783,4
2287,2858,4
2287,2743,4
2287,2854,4
2287,2804,4
2287,2883,4
2287,2879,4
2287,2908,4
2287,2550,4
2287,2881,4
2287,2955,4
2287,2981,4
2287,2496,4
2287,2540,4
2287,2819,4
2287,2910,4
2287,3000,4
2287,3029,4
2287,2811,4
2287,2928,4
2287,2992,4
2287,3008,4
2287,3069,4
2287,3160,4
2287,2705,4
2287,2778,4
2287,3169,4
2287,3343,4
2287,2622,4
2287,2891,4
2287,3228,4
2287,3335,4
2287,3361,4
2287,3471,4
2287,2935,4
2287,3045,4
2287,3299,4
2287,3623,4
2287,2677,4
2287,2971,4
2287,3050,4
2287,3097,4
2287,3650,4
2287,3652,4
2287,2558,4
2287,2695,4
2287,3068,4
2287,3134,4
2287,3503,4
2287,3696,4
2287,2501,4
2287,2562,4
2287,2656,4
2287,2786,4
2287,3006,4
2287,3137,4
2287,3220,4
2287,3305,4
2287,3519,4
2287,3539,4
2287,3637,4
2287,3898,4
2287,2407,4
2287,2473,4
2287,2542,4
2287,2596,4
2287,2756,4
2287,2956,4
2287,3187,4
2287,3246,4
2287,3282,4
2287,3328,4
2287,3574,4
2287,3651,4
2287,3837,4
2287,4127,4
2287,2191,4
2287,2427,4
2287,2456,4
2287,2516,4
2287,2613,4
2287,2745,4
2287,2915,4
2287,3009,4
2287,3208,4
2287,3240,4
2287,3431,4
2287,3479,4
2287,3981,4
2287,4212,4
2287,2603,4
