year_2015,year_2016,year_2017,sd,mean,cv,mean_cv,change_2016_2017,change_2015_2016
2.55171277920957e-5,3.65974162224147e-5,1.72775355323317e-5,9.694684644907793e-6,2.227169104793747e-5,0.43529180716637117,0.07256719427026848,-1.9319880690082997e-5,1.1080288430318999e-5
0,0,0,0,0,NA,0,0,0
7.19119055959061e-5,3.25310366421464e-5,4.10341468892877e-5,2.0722739949840857e-5,4.154995726929526e-5,0.4987427499752117,0.08315841662692636,8.5031102471413e-6,-3.9380868953759695e-5
0,0,0,0,0,NA,0,0,0
3.01566055724768e-5,3.86306060125488e-5,2.3756611356956e-5,7.46105808438771e-6,2.5001220256592326e-5,0.29842775703799407,0.04975879385654617,-1.4873994655592799e-5,8.474000440071997e-6
0,0,0,0,0,NA,0,0,0
7.19119055959061e-5,3.65974162224147e-5,5.1832606596995e-5,1.771253056336019e-5,4.4513614744668994e-5,0.39791265357710504,0.06635587027513806,1.5235190374580303e-5,-3.53144893734914e-5
0,0,0,0,0,NA,0,0,0
1.39184333411431e-5,2.03318979013415e-5,2.8075995240039e-5,7.0891951844245746e-6,1.7353880416737044e-5,0.4085077812099801,0.0680990917686773,7.744097338697499e-6,6.413464560198401e-6
2.180554556779e-4,1.4638966488965e-4,1.1230398096015e-4,5.397714612566123e-5,1.326815619133403e-4,0.4068172347934515,0.06791344043383636,-3.408568392950001e-5,-7.166579078824999e-5
1.4150407230162e-4,8.53939711856343e-5,5.83116824216194e-5,4.2431842496505795e-5,8.191039210134488e-5,0.5180275836551528,0.08640618926927658,-2.70822887640149e-5,-5.611010111598569e-5
1.6702120009371e-4,1.016594895067e-4,7.34295260124096e-5,4.800778670710509e-5,9.752950057998117e-5,0.4922386193061172,0.08212104446816951,-2.822996349429039e-5,-6.536171058701e-5
0,0,0,0,0,NA,0,0,0
2.180554556779e-4,1.5248923426006e-4,1.1446367290169e-4,5.240249702445145e-5,1.3435271496602537e-4,0.3900367553994187,0.06511808649570813,-3.8025561358370015e-5,-6.556622141783998e-5
1.4846328897219e-4,1.1995819761791e-4,8.85473696031998e-5,2.9969700653373472e-5,9.673463921166832e-5,0.30981353626383784,0.051716201576649364,-3.1410828014710195e-5,-2.8505091354280002e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
1.4846328897219e-4,1.1589181803764e-4,9.28667534862827e-5,2.7934533808144342e-5,9.628909857606426e-5,0.29011107405972086,0.048432086592100194,-2.3025064551357305e-5,-3.257147093454999e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
7.65513833762872e-5,3.65974162224147e-5,5.1832606596995e-5,2.0163698579984864e-5,4.628627619392044e-5,0.4356301746009394,0.07264360099698483,1.5235190374580303e-5,-3.99539671538725e-5
3.24763444626673e-5,5.28629345434879e-5,4.75132227139121e-5,1.0569927304430522e-5,3.5855607256124456e-5,0.29479147372758785,0.04916179196064475,-5.349711829575799e-6,2.0386590080820602e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
2.31973889019052e-5,3.04978468520122e-5,2.59163032984975e-5,3.689618840070734e-6,2.082528947312141e-5,0.1771701106403739,0.02954570618128992,-4.5815435535147004e-6,7.300457950106999e-6
