tributary_group_id,year,trib_total_assignment_rescale,trib_total_assignment_individuals,n_reaches,mean_str_order,min_str_order,max_str_order,stream_order
3_12572_4,2017,0.007338791468330549,972.3605143879244,10,4,4,4,4
3_12597_4,2017,0.006615322924576503,876.5038262146883,9,4,4,4,4
3_12603_4,2017,2.8251862848840053e-4,37.43258820019911,1,4,4,4,4
3_1261_4,2017,0,0,1,4,4,4,4
3_12636_3,2017,0,0,1,3,3,3,3
3_12649_4,2017,0.007857717991505584,1041.116203002524,11,4,4,4,4
3_12663_3,2017,0,0,1,3,3,3,3
3_1266_3,2017,0,0,1,3,3,3,3
3_12674_3,2017,0,0,3,3,3,3,3
3_12679_4,2017,0.008382008832513319,1110.5826422726846,12,4,4,4,4
3_12761_3,2017,6.207174168969926e-4,82.24257486918394,5,3,3,3,3
3_127_3,2017,0,0,6,3,3,3,3
3_12851_3,2017,0,0,1,3,3,3,3
3_12853_4,2017,4.6960204768139383e-4,62.220392909593954,1,4,4,4,4
3_12856_4,2017,0.0024797431828166346,328.5560527504728,5,4,4,4,4
3_12965_4,2017,4.6960204768139383e-4,62.220392909593954,1,4,4,4,4
3_12966_4,2017,9.448922908531608e-4,125.19444896888038,2,4,4,4,4
3_12973_4,2017,9.448922908531608e-4,125.19444896888038,3,4,4,4,4
3_12974_3,2017,0.0014460492625168362,191.59574308643073,7,3,3,3,3
3_13008_4,2017,0.0019453059137050305,257.7452523422617,4,4,4,4,4
3_13055_4,2017,0.0014342469871991008,190.03198881593204,4,4,4,4,4
3_13070_4,2017,0.0019378444453073919,256.75663762544815,5,4,4,4,4
3_13109_3,2017,0.004920919177717236,652.002107370823,12,3,3,3,3
3_13120_4,2017,0.0024419464433644068,323.54813596001037,6,4,4,4,4
3_13180_3,2017,0.0031327676757250712,415.079185962869,10,3,3,3,3
3_13191_4,2017,7.035123631126087e-4,93.2125740629682,1,4,4,4,4
3_13201_4,2017,7.035123631126087e-4,93.2125740629682,1,4,4,4,4
3_13225_4,2017,0.001501762033379738,198.9774623746818,2,4,4,4,4
3_13240_4,2017,0.0023027159254782326,305.10064926216387,3,4,4,4,4
3_13245_3,2017,0.0010984947419372467,145.54615932771748,9,3,3,3,3
3_13271_3,2017,0.005036285642961297,667.2877025498,12,3,3,3,3
3_13276_3,2017,0,0,7,3,3,3,3
3_13285_4,2017,0.0014174992043483106,187.81297457933377,3,4,4,4,4
3_13292_4,2017,9.311101877983122e-4,123.36837544252518,2,4,4,4,4
3_132_4,2017,0,0,16,4,4,4,4
3_13304_3,2017,0.00341531651210318,452.5157765876229,10,3,3,3,3
3_13326_4,2017,0.0031070089898888,411.66626312430645,4,4,4,4,4
3_13352_4,2017,0.01570243858639849,2080.5103029434545,29,4,4,4,4
3_13359_4,2017,0.0037989250577630494,503.342374453373,5,4,4,4,4
3_13390_4,2017,0.014920467936266214,1976.9023196835287,28,4,4,4,4
3_133_4,2017,0,0,17,4,4,4,4
3_13413_3,2017,1.156065683778435e-5,1.5317407883790752,1,3,3,3,3
3_13416_4,2017,5.322139701504991e-4,70.51622218906053,1,4,4,4,4
3_13431_3,2017,0,0,2,3,3,3,3
