tributary_group_id,stream_order,n_years,mean_individuals,sd_individuals,min_individuals,max_individuals,cv_individuals,mean_rescale,sd_rescale,cv_rescale
3_4321_4,4,5,224.96913363853497,60.71234301188364,187.49431443854502,332.75164208572187,0.26986965736122753,0.0015316073873340682,1.0260938560289223e-4,0.06699457475293012
3_4330_4,4,5,67.83237543872004,16.208800716391714,57.34269155291423,96.57964889799035,0.2389537534482305,0.00046397936041785805,2.8987045017115658e-5,0.062474858776067184
3_4415_4,4,5,67.83237543872004,16.208800716391714,57.34269155291423,96.57964889799035,0.2389537534482305,0.00046397936041785805,2.8987045017115658e-5,0.062474858776067184
3_4504_4,4,5,136.50573999965223,32.68822627008529,115.44156272300395,194.50645823753246,0.239464115356384,9.337018579458671e-4,5.941200287897263e-5,0.06363059297073513
3_4601_4,4,5,204.90173455822077,49.1991851393647,173.26016823558294,292.2414602631093,0.24011112080354424,0.001401577144177146,9.246311788399354e-5,0.06597076605317923
3_4642_4,4,5,424.8371445204009,102.52628222777518,314.20921089770115,531.2740175183167,0.24133078651471782,0.0029169591775119806,4.655962572849129e-4,0.15961699459985007
3_4666_4,4,5,468.36296512485836,113.29261204513318,346.51563800542795,584.6252115411306,0.24189062859598884,0.003216033604786503,5.182322601955695e-4,0.1611401881573226
3_4672_4,4,5,224.96913363853497,60.71234301188364,187.49431443854502,332.75164208572187,0.26986965736122753,0.0015316073873340682,1.0260938560289223e-4,0.06699457475293012
3_4680_4,4,5,284.56210632068814,68.64185425208994,240.6212577441909,406.4921081287793,0.24121923730327535,0.0019465418612441053,1.3526418421773467e-4,0.06948948127490176
3_4713_4,4,5,325.3306208943734,88.41195388428478,267.4954062348441,481.84172395991305,0.2717603207507169,0.002213714086479046,1.4416063676116927e-4,0.06512161513615314
3_4751_4,4,5,511.87471296365385,124.06721889873963,378.8105753304702,637.9526222211557,0.24237809713321223,0.003515013361094336,5.709494754000934e-4,0.16243166575683757
3_4757_4,4,5,364.27303935527397,88.20082604602365,308.0832192614173,521.0020948092516,0.2421283392318303,0.0024918313696224168,1.7936897251543356e-4,0.07198278932599401
3_4770_4,4,5,555.2522128137512,134.8217827285519,411.0106386024858,691.8435452531467,0.24281178825986116,0.0038130725686132175,6.236261958774943e-4,0.16354952198150846
3_4811_4,4,5,444.88769169435807,108.1123123604291,376.4208256997638,637.0543506662888,0.24301034705788907,0.0030432450540683466,2.250461904523691e-4,0.07394941467218266
3_4822_4,4,5,81.53442318565155,18.246237458125652,65.62836924365416,110.89380828865959,0.22378569376249208,5.581618538922776e-4,3.2219288554669977e-5,0.05772391705021128
3_4847_4,4,5,598.3445503572582,145.52217268124423,443.01217964738515,747.1988232590844,0.24320798542304126,0.004109172821840986,6.761080818929829e-4,0.16453629749991236
3_4860_4,4,5,120.51123428900875,26.837619193703205,97.09267681465076,164.06558114357125,0.22269806920524532,8.251374585346829e-4,4.629769068486185e-5,0.05610906426073472
3_4867_4,4,5,526.2704655702155,143.17590620203308,424.71145081434264,778.3692513001098,0.27205765014174144,0.0035796209055560984,2.2238465451067223e-4,0.06212519715858697
3_4891_4,4,5,525.6303380301513,128.1658722677694,444.9556921485486,753.4941765300633,0.24383271473272064,0.0035954875991714413,2.71744028757696e-4,0.07557918676185055
3_4896_4,4,5,425.33630566261934,115.84469943878183,346.4237437304201,629.9000135353488,0.2723602426985645,0.0028934464270095914,1.8442844500725703e-4,0.06374005866694614
3_4958_4,4,5,642.0267531833479,156.3566553619306,475.4132173271416,803.2333357557313,0.24353604360981945,0.004409338366157933,7.292580755843028e-4,0.16538945642761824
3_4972_4,4,5,626.7052330286299,170.2656471575535,502.09324783866055,925.7318941189232,0.2716837808018993,0.00426247595093489,2.6066993969825724e-4,0.06115458308711031
3_5038_4,4,5,167.82110676632138,37.249993602304,135.29609810898,228.6338846361678,0.22196250710092083,0.0011492240909524306,6.352924255753208e-5,0.05528011730495625
3_5058_4,4,5,725.843151938138,196.5019555053585,576.4970495131079,1069.7545162080585,0.27072233853920263,0.004936816691587994,2.975167421179513e-4,0.06026489551959666
3_5097_4,4,5,214.87976771028335,47.58239331667878,173.32640294886076,292.93073823802035,0.22143728943728594,0.0014716341928386607,8.06304358476552e-5,0.05478972712106244
3_5106_4,4,5,687.5056395169154,167.5824619830475,509.03524318670105,861.2934784698847,0.24375430883854488,0.004721875793373422,7.84224131324187e-4,0.16608317661060676
3_5123_3,3,5,147.9873964386637,36.125683449308326,128.24238525183577,212.18290355208046,0.2441132442267226,0.0010108236641843816,4.7386197331729695e-5,0.0468787969758948
3_5132_4,4,5,607.3900422882276,148.689269392254,514.5551942234844,871.8119751343318,0.24480030794066887,0.0041545688486197725,3.205003531412353e-4,0.07714407073737908
3_5137_4,4,5,72.21590803001564,17.70809420499123,62.314791512005925,103.6882311439514,0.2452104347650255,4.931954128972255e-4,2.3345429236419345e-5,0.04733504940623643
3_5157_3,3,5,480.80252988363907,107.66622245135565,391.1288360715812,661.4457318199609,0.22393023280766094,0.003291563490581982,1.6048180913426317e-4,0.048755495555058655
3_5192_4,4,5,214.87976771028335,47.58239331667878,173.32640294886076,292.93073823802035,0.22143728943728594,0.0014716341928386607,8.06304358476552e-5,0.05478972712106244
3_5194_4,4,5,738.0876609840727,180.0237291645169,546.3411667566087,925.6380160415844,0.24390562080999437,0.005069500425541227,8.450304056600936e-4,0.16668908861367282
3_5197_4,4,5,824.2361479609757,222.48958666272625,649.8032602852207,1212.3720152645858,0.26993427455605873,0.0056061704175744825,3.364849183336723e-4,0.060020458400416046
3_5299_4,4,5,72.21590803001564,17.70809420499123,62.314791512005925,103.6882311439514,0.2452104347650255,4.931954128972255e-4,2.3345429236419345e-5,0.04733504940623643
3_5305_4,4,5,921.3454469354979,248.0543345341219,721.4658350817683,1352.702276543167,0.26923054252797307,0.006266895429661178,3.7752058801977193e-4,0.06024044796295296
3_5350_4,4,5,72.08466668826105,17.664751888472896,61.95877228110286,103.45995295622049,0.24505560891148007,4.922877895824893e-4,2.2874581639910363e-5,0.046465872450970926
3_5353_3,3,5,65.21777614605415,16.066717815959738,56.02543598118188,93.76936185914153,0.24635488612765,4.4533680834580225e-4,2.1477724546578087e-5,0.04822804705130217
3_5356_4,4,5,789.2328723050093,192.58882465591216,584.0154783498409,990.6392920291487,0.24402027768235648,0.005421014105212989,9.06506959516383e-4,0.16722091880274986
3_5376_4,4,5,691.0760524311148,170.1557930738833,586.2538991137623,993.7943865942293,0.24621862163404096,0.004726525564261231,3.7276127191019075e-4,0.07886581101533814
3_5434_4,4,5,1017.7336247015209,273.4111568152236,791.8948555680954,1491.6840837801294,0.2686470704899911,0.006922784302695473,4.2168459213072355e-4,0.06091257125641418
3_5438_4,4,5,841.3410487526075,205.36011283091216,622.3395971889021,1056.703321843514,0.2440866437402335,0.005779155753632955,9.688976224826075e-4,0.1676538345369094
3_5460_4,4,5,976.7073225248894,247.6455932497763,835.3216596826812,1417.8018212120783,0.2535514862421496,0.006676624095689737,5.836499118389053e-4,0.08741691960997103
3_5464_4,4,5,1072.9023955704538,274.7239837271901,920.3527161732341,1562.2433228415948,0.25605682759345644,0.00733300826517555,6.636133986674694e-4,0.09049674767434382
3_5469_4,4,5,1169.6358769123328,302.2127279149617,1006.2527141421524,1707.87198546599,0.2583818895097156,0.007993001742896782,7.466786849934099e-4,0.09341655475766261
3_5481_4,4,5,880.9837362541206,221.0766444261093,751.2087179978796,1274.6736362169183,0.2509429349582675,0.00602329679424125,5.071183885645539e-4,0.08419282759723866
3_5483_4,4,5,146.97244929300362,36.068557908932064,126.831815851945,211.08409416168163,0.2454103342662947,0.0010037249645549707,4.78114536606165e-5,0.047634018629610385
3_5484_4,4,5,1266.2226570907308,329.82525578187943,1091.9070808265606,1853.490585647369,0.26047966677494533,0.008651979458548629,8.315946410969142e-4,0.0961161136686765
3_5485_4,4,5,1363.7922057478008,358.1756709790216,1168.692516682961,2001.3441986642388,0.2626321440095231,0.009317399635827858,9.200679001641312e-4,0.09874728316109009
3_5491_4,4,5,785.4055132555442,194.71497700950803,667.4310424328588,1131.9650517850553,0.24791648864597976,0.005370974714544049,4.3328279697601177e-4,0.08067116678146452
3_5521_4,4,5,1461.5046980510353,386.8597056584726,1245.1133334915583,2149.865532442944,0.26469959773264,0.009983638979903503,0.0010105354356461469,0.10121914841675436
3_5523_4,4,5,1559.980078867914,416.1064183842618,1321.6092157864366,2300.081737421434,0.2667382898160036,0.010654885672915747,0.0011037309011927793,0.10358918294153216
3_5560_3,3,5,244.19667035698703,61.613988915092264,212.47142351354051,354.2587918927866,0.25231297717949963,0.00166755435771696,1.1091555955287903e-4,0.06651390945044391
3_5571_4,4,5,80.62486558533836,18.886935553434256,63.49289252930896,108.49627754701156,0.2342569555473324,5.513991422010053e-4,4.8158701235208276e-5,0.08733909349763308
3_5614_4,4,5,80.62486558533836,18.886935553434256,63.49289252930896,108.49627754701156,0.2342569555473324,5.513991422010053e-4,4.8158701235208276e-5,0.08733909349763308
3_5665_4,4,5,895.4088072748062,218.5473805131299,661.9843429221902,1124.9081485044587,0.24407553146398347,0.006150780545528389,0.0010330909950102554,0.16796095834719896
3_5710_4,4,5,1658.8882406088217,445.80572219980246,1398.1673886104368,2451.4842503898603,0.2687376468689592,0.01132884164683835,0.0011986218585101631,0.1058026844999351
3_5739_4,4,5,146.22856746334367,35.93171459246051,125.75597464369622,210.07496793464597,0.24572294740880787,9.985826652754407e-4,4.741245707108981e-5,0.04747975177198971
3_5743_4,4,5,161.14688284728135,37.742538275360836,126.9423529207196,216.88767660435957,0.2342120282346968,0.0011020908337781136,9.593892640638737e-5,0.08705174153159045
3_5846_4,4,5,66.77436951409716,16.10693396558562,50.53711511171777,88.11690017584681,0.24121431745132663,4.5697898878289007e-4,5.623559322835271e-5,0.1230594723362
3_5856_4,4,5,241.75436142024552,56.62820571790276,190.44076714555484,325.378294983744,0.23423861056829098,0.00165336371687341,1.439885846856268e-4,0.08708826933611202
3_5864_4,4,5,1764.2806252719201,481.30819331151196,1474.97714734305,2619.5308008138704,0.2728070503167999,0.012044243560024238,0.0013176041026435894,0.10939699916205761
3_5870_4,4,5,951.5581348405614,232.17456511024236,703.026527333102,1195.3615394676738,0.24399409411716547,0.006536723702522657,0.0010991534447388855,0.16815051312551263
3_5871_4,4,5,66.77436951409716,16.10693396558562,50.53711511171777,88.11690017584681,0.24121431745132663,4.5697898878289007e-4,5.623559322835271e-5,0.1230594723362
3_5890_4,4,5,201.4658184747238,48.60581408152682,152.59490758387318,265.9984910884676,0.24126084737111364,0.0013787001526093024,1.6899185059016358e-4,0.12257331680883093
3_5900_4,4,5,133.5630974410951,32.22354811075301,101.17191249281,176.3535326029425,0.24126086267926256,9.140152363516449e-4,1.1198707287778174e-4,0.12252210731714484
3_5908_4,4,5,222.82004769074817,54.831707962391526,191.79478461178098,320.27994454707414,0.24608067600134628,0.0015215830210799247,7.32155880715386e-5,0.04811803697676302
3_5969_3,3,5,635.4951497213142,156.11369596078026,549.580653983568,913.7536427597769,0.24565678593965873,0.004342260918809953,2.5727700486433017e-4,0.05924954987155399
3_5972_4,4,5,46.11564873044746,10.5250581249211,37.62322727352557,64.21738315446075,0.22823181316263305,3.169555094549809e-4,3.680019630519152e-5,0.1161052425574526
3_5985_4,4,5,1010.6773185080564,246.42620573739018,746.073729583563,1268.9447905586742,0.243822831703753,0.006943070788471651,0.0011676536722949344,0.16817539499002648
