"","Individual","tribs"
"797","166","Koyokuk.mouth"
"798","166","Hogatza"
"799","167","Andreafsky"
"800","167","Anvik"
"801","167","Kantishna"
"802","167","Nowitna"
"803","167","Koyokuk.mouth"
"804","167","Hogatza"
"805","168","Andreafsky"
"806","168","Anvik"
"807","168","Nowitna"
"808","169","SMS.Yukon.Canada.Tahkini"
"809","169","White"
"810","169","Kluane.Donjek.Tincup"
"811","170","Andreafsky"
"812","170","Innoko"
"813","170","Kantishna"
"814","170","Nowitna"
"815","170","Koyokuk.mouth"
"816","170","Hogatza"
"817","171","Andreafsky"
"818","171","Anvik"
"819","171","Kantishna"
"820","171","Nowitna"
"821","171","Koyokuk.mouth"
"822","171","Hogatza"
"823","172","Andreafsky"
"824","172","Anvik"
"825","172","Nowitna"
"826","173","Tanana.mouth"
"827","173",NA
"828","173","Upper.Yukon.Canada"
"829","173","Koyokuk.mouth"
"830","173","Alatna"
"831","173","Black.Salmon.Fork"
"832","173","John"
"833","173","North.Fork.Koyokuk"
"834","173","Chandlar.Teedriinjik"
"835","173","Middle.Fork.Koyokuk"
"836","174","Andreafsky"
"837","174","Anvik"
"838","174","Innoko"
"839","174","Kantishna"
"840","174","Nowitna"
"841","174","Koyokuk.mouth"
"842","174","Hogatza"
"843","175","SMS.Yukon.Canada.Tahkini"
"844","175","White"
"845","176","Andreafsky"
"846","176","Anvik"
"847","176","Kantishna"
"848","176","Nowitna"
"849","176","Koyokuk.mouth"
"850","176","Hogatza"
"851","177","Andreafsky"
"852","177","Anvik"
"853","177","Kantishna"
"854","177","Nowitna"
"855","177","Koyokuk.mouth"
"856","177","Hogatza"
"857","178","Andreafsky"
"858","178","Innoko"
"859","178","Kantishna"
"860","178","Nowitna"
"861","178","Koyokuk.mouth"
"862","178","Hogatza"
"863","179","Andreafsky"
"864","179","Anvik"
"865","179","Nowitna"
"866","180","Kantishna"
"867","181","Nisutlin"
"868","181","Teslin"
"869","181","Nisling"
"870","181","White"
"871","181","Upper.Yukon.Canada"
"872","181","Whitestone"
"873","181","Porcupine.Canada"
"874","182","Andreafsky"
"875","182","Anvik"
"876","182","Kantishna"
"877","182","Nowitna"
"878","182","Koyokuk.mouth"
"879","182","Hogatza"
