Date,dailyCatch,dailyCPUE,cumCPUE,year,DOY,dailyPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
2017-06-08,6,0.13,1.91,2017,158,0.00466954022988505,2,0.00803212851405622,0.04417670682730924,0.5813577586206897
2017-06-09,31,0.67,2.58,2017,159,0.02406609195402299,2,0.00803212851405622,0.05220883534136546,2.9962284482758625
2017-06-10,54,0.75,3.33,2017,160,0.02693965517241379,1,0.00401606425702811,0.05622489959839357,6.707974137931036
2017-06-11,43,0.9,4.23,2017,161,0.03232758620689655,5,0.02008032128514056,0.07630522088353414,1.6099137931034484
2017-06-12,75,1.56,5.79,2017,162,0.05603448275862069,6,0.02409638554216867,0.1004016064257028,2.3254310344827585
2017-06-13,62,1.29,7.08,2017,163,0.04633620689655172,7,0.02811244979919678,0.1285140562248996,1.6482450738916257
2017-06-14,48,1,8.08,2017,164,0.03591954022988505,24,0.0963855421686747,0.2248995983935743,0.3726652298850574
2017-06-15,14,0.39,8.47,2017,165,0.01400862068965517,20,0.08032128514056225,0.30522088353413657,0.1744073275862069
2017-06-16,54,1.13,9.59,2017,166,0.04058908045977011,10,0.04016064257028112,0.3453815261044177,1.0106681034482758
2017-06-17,65,1.35,10.95,2017,167,0.04849137931034483,23,0.09236947791164658,0.43775100401606426,0.5249718890554723
2017-06-18,70,1.46,12.41,2017,168,0.05244252873563218,23,0.09236947791164658,0.5301204819277109,0.5677473763118441
2017-06-19,56,1.17,13.57,2017,169,0.04202586206896552,28,0.11244979919678716,0.642570281124498,0.3737299876847291
2017-06-20,55,1.15,14.72,2017,170,0.04130747126436781,32,0.1285140562248996,0.7710843373493975,0.32142376077586204
2017-06-21,56,1.17,15.89,2017,171,0.04202586206896552,28,0.11244979919678716,0.8835341365461847,0.3737299876847291
2017-06-22,39,0.81,16.7,2017,172,0.0290948275862069,22,0.08835341365461848,0.9718875502008032,0.3293005485893417
2017-06-23,32,0.67,17.36,2017,173,0.02406609195402299,7,0.02811244979919678,1,0.8560652709359606
2017-06-24,70,1.46,18.82,2017,174,0.05244252873563218,0,0,1,Inf
2017-06-25,59,1.23,20.05,2017,175,0.04418103448275862,0,0,1,Inf
2017-06-26,40,0.83,20.89,2017,176,0.02981321839080459,0,0,1,Inf
2017-06-27,61,1.27,22.16,2017,177,0.04561781609195402,0,0,1,Inf
2017-06-28,31,0.86,23.02,2017,178,0.03089080459770115,0,0,1,Inf
2017-06-29,29,1.21,24.26,2017,179,0.04346264367816092,0,0,1,Inf
2017-06-30,12,0.5,24.73,2017,180,0.01795977011494252,0,0,1,Inf
2017-07-01,7,0.29,25.02,2017,181,0.01041666666666666,0,0,1,Inf
2017-07-02,16,0.67,25.68,2017,182,0.02406609195402299,0,0,1,Inf
2017-07-03,2,0,25.77,2017,183,0,0,0,1,NA
2017-07-04,7,0.29,26.06,2017,184,0.01041666666666666,0,0,1,Inf
2017-07-05,6,0.25,26.31,2017,185,0.00897988505747126,0,0,1,Inf
2017-07-06,9,0.38,26.68,2017,186,0.01364942528735632,0,0,1,Inf
2017-07-07,9,0.38,27.06,2017,187,0.01364942528735632,0,0,1,Inf
