number,mixture_collection,indiv,repunit,collection,PofZ,n_miss_loci,TF_YEAR_ID,FishID,QC_or_RR
144,2015,KLYUTF15_0006rr,upper,Whitehorse,0.001120086,0,KLYUTF15,6,rr
145,2015,KLYUTF15_0010rr,lower,Andreafsky_R,1.26E-05,0,KLYUTF15,10,rr
146,2015,KLYUTF15_0010rr,lower,Anvik_R,7.93E-05,0,KLYUTF15,10,rr
147,2015,KLYUTF15_0010rr,lower,Nulato_R,6.95E-06,0,KLYUTF15,10,rr
148,2015,KLYUTF15_0010rr,lower,Gisasa_R,0.011178779,0,KLYUTF15,10,rr
149,2015,KLYUTF15_0010rr,lower,Kateel_R,0.009676427,0,KLYUTF15,10,rr
150,2015,KLYUTF15_0010rr,lower,Tozitna_R,0.031751859,0,KLYUTF15,10,rr
151,2015,KLYUTF15_0010rr,middle,S_Fk_Koyukuk_R,0.000162993,0,KLYUTF15,10,rr
152,2015,KLYUTF15_0010rr,middle,Henshaw_Creek,2.92E-05,0,KLYUTF15,10,rr
153,2015,KLYUTF15_0010rr,middle,Kantishna_R,0.000419958,0,KLYUTF15,10,rr
154,2015,KLYUTF15_0010rr,middle,Chatanika_R,0.001411723,0,KLYUTF15,10,rr
155,2015,KLYUTF15_0010rr,middle,Chena_R,0.000130468,0,KLYUTF15,10,rr
156,2015,KLYUTF15_0010rr,middle,Salcha_R,0.000362128,0,KLYUTF15,10,rr
157,2015,KLYUTF15_0010rr,middle,Goodpaster_R,0.000720729,0,KLYUTF15,10,rr
158,2015,KLYUTF15_0010rr,middle,Beaver_Ck,0.063318449,0,KLYUTF15,10,rr
159,2015,KLYUTF15_0010rr,middle,Chandalar_R,0.00043571,0,KLYUTF15,10,rr
160,2015,KLYUTF15_0010rr,middle,Sheenjek_R,0.001503342,0,KLYUTF15,10,rr
161,2015,KLYUTF15_0010rr,middle,Coleen_R,0.000103256,0,KLYUTF15,10,rr
162,2015,KLYUTF15_0010rr,upper,Kandik_R,0.000497993,0,KLYUTF15,10,rr
163,2015,KLYUTF15_0010rr,upper,Chandindu_R,0.003809603,0,KLYUTF15,10,rr
164,2015,KLYUTF15_0010rr,upper,Klondike_R,0.000916256,0,KLYUTF15,10,rr
165,2015,KLYUTF15_0010rr,upper,Porcupine_R,0.000860575,0,KLYUTF15,10,rr
166,2015,KLYUTF15_0010rr,upper,Stewart_R,0.185288683,0,KLYUTF15,10,rr
167,2015,KLYUTF15_0010rr,upper,Mayo_R,0.06067798,0,KLYUTF15,10,rr
168,2015,KLYUTF15_0010rr,upper,Pelly_R,0.000245872,0,KLYUTF15,10,rr
169,2015,KLYUTF15_0010rr,upper,Blind_CK,0.013202166,0,KLYUTF15,10,rr
170,2015,KLYUTF15_0010rr,upper,Tincup_Creek,4.43E-07,0,KLYUTF15,10,rr
171,2015,KLYUTF15_0010rr,upper,Yukon_R_Mainstem,0.001271938,0,KLYUTF15,10,rr
172,2015,KLYUTF15_0010rr,upper,Tatchun_CK,0.11275631,0,KLYUTF15,10,rr
173,2015,KLYUTF15_0010rr,upper,Nordenskiold_R,0.000169329,0,KLYUTF15,10,rr
174,2015,KLYUTF15_0010rr,upper,Little_Salmon_R,0.003929007,0,KLYUTF15,10,rr
175,2015,KLYUTF15_0010rr,upper,Big_Salmon_R,0.000417837,0,KLYUTF15,10,rr
176,2015,KLYUTF15_0010rr,upper,Nisutlin_R,0.004046516,0,KLYUTF15,10,rr
177,2015,KLYUTF15_0010rr,upper,Teslin_R,0.020308824,0,KLYUTF15,10,rr
178,2015,KLYUTF15_0010rr,upper,Morley_R,0.467324585,0,KLYUTF15,10,rr
179,2015,KLYUTF15_0010rr,upper,Takhini_R,0.000644756,0,KLYUTF15,10,rr
180,2015,KLYUTF15_0010rr,upper,Whitehorse,0.002327443,0,KLYUTF15,10,rr
181,2015,KLYUTF15_0011rr,lower,Andreafsky_R,2.95E-07,0,KLYUTF15,11,rr
182,2015,KLYUTF15_0011rr,lower,Anvik_R,6.37E-07,0,KLYUTF15,11,rr
183,2015,KLYUTF15_0011rr,lower,Nulato_R,1.18E-06,0,KLYUTF15,11,rr
184,2015,KLYUTF15_0011rr,lower,Gisasa_R,0.003110971,0,KLYUTF15,11,rr
185,2015,KLYUTF15_0011rr,lower,Kateel_R,0.000770658,0,KLYUTF15,11,rr
186,2015,KLYUTF15_0011rr,lower,Tozitna_R,0.061866274,0,KLYUTF15,11,rr
187,2015,KLYUTF15_0011rr,middle,S_Fk_Koyukuk_R,0.009096753,0,KLYUTF15,11,rr
188,2015,KLYUTF15_0011rr,middle,Henshaw_Creek,0.000461285,0,KLYUTF15,11,rr
189,2015,KLYUTF15_0011rr,middle,Kantishna_R,0.000178722,0,KLYUTF15,11,rr
190,2015,KLYUTF15_0011rr,middle,Chatanika_R,0.116482904,0,KLYUTF15,11,rr
191,2015,KLYUTF15_0011rr,middle,Chena_R,0.007550053,0,KLYUTF15,11,rr
192,2015,KLYUTF15_0011rr,middle,Salcha_R,0.025120235,0,KLYUTF15,11,rr
193,2015,KLYUTF15_0011rr,middle,Goodpaster_R,0.050655542,0,KLYUTF15,11,rr
194,2015,KLYUTF15_0011rr,middle,Beaver_Ck,0.620668773,0,KLYUTF15,11,rr
195,2015,KLYUTF15_0011rr,middle,Chandalar_R,0.013347177,0,KLYUTF15,11,rr
196,2015,KLYUTF15_0011rr,middle,Sheenjek_R,0.013762476,0,KLYUTF15,11,rr
197,2015,KLYUTF15_0011rr,middle,Coleen_R,0.000690671,0,KLYUTF15,11,rr
198,2015,KLYUTF15_0011rr,upper,Kandik_R,0.000139057,0,KLYUTF15,11,rr
199,2015,KLYUTF15_0011rr,upper,Chandindu_R,0.000435551,0,KLYUTF15,11,rr
200,2015,KLYUTF15_0011rr,upper,Klondike_R,6.43E-05,0,KLYUTF15,11,rr
201,2015,KLYUTF15_0011rr,upper,Porcupine_R,0.000160151,0,KLYUTF15,11,rr
202,2015,KLYUTF15_0011rr,upper,Stewart_R,0.063053312,0,KLYUTF15,11,rr
203,2015,KLYUTF15_0011rr,upper,Mayo_R,0.008590928,0,KLYUTF15,11,rr
204,2015,KLYUTF15_0011rr,upper,Pelly_R,0.000161182,0,KLYUTF15,11,rr
205,2015,KLYUTF15_0011rr,upper,Blind_CK,0.001706819,0,KLYUTF15,11,rr
206,2015,KLYUTF15_0011rr,upper,Tincup_Creek,1.50E-06,0,KLYUTF15,11,rr
207,2015,KLYUTF15_0011rr,upper,Yukon_R_Mainstem,0.000114199,0,KLYUTF15,11,rr
208,2015,KLYUTF15_0011rr,upper,Tatchun_CK,0.000400176,0,KLYUTF15,11,rr
209,2015,KLYUTF15_0011rr,upper,Nordenskiold_R,9.27E-05,0,KLYUTF15,11,rr
210,2015,KLYUTF15_0011rr,upper,Little_Salmon_R,0.000437848,0,KLYUTF15,11,rr
211,2015,KLYUTF15_0011rr,upper,Big_Salmon_R,1.88E-05,0,KLYUTF15,11,rr
212,2015,KLYUTF15_0011rr,upper,Nisutlin_R,2.34E-06,0,KLYUTF15,11,rr
213,2015,KLYUTF15_0011rr,upper,Teslin_R,0.000282405,0,KLYUTF15,11,rr
214,2015,KLYUTF15_0011rr,upper,Morley_R,0.000164246,0,KLYUTF15,11,rr
215,2015,KLYUTF15_0011rr,upper,Takhini_R,1.18E-05,0,KLYUTF15,11,rr
216,2015,KLYUTF15_0011rr,upper,Whitehorse,0.000398105,0,KLYUTF15,11,rr
217,2015,KLYUTF15_0012rr,lower,Andreafsky_R,6.74E-10,0,KLYUTF15,12,rr
218,2015,KLYUTF15_0012rr,lower,Anvik_R,1.40E-07,0,KLYUTF15,12,rr
219,2015,KLYUTF15_0012rr,lower,Nulato_R,9.12E-10,0,KLYUTF15,12,rr
220,2015,KLYUTF15_0012rr,lower,Gisasa_R,5.64E-06,0,KLYUTF15,12,rr
221,2015,KLYUTF15_0012rr,lower,Kateel_R,2.65E-05,0,KLYUTF15,12,rr
222,2015,KLYUTF15_0012rr,lower,Tozitna_R,0.000306303,0,KLYUTF15,12,rr
223,2015,KLYUTF15_0012rr,middle,S_Fk_Koyukuk_R,9.24E-06,0,KLYUTF15,12,rr
224,2015,KLYUTF15_0012rr,middle,Henshaw_Creek,2.65E-05,0,KLYUTF15,12,rr
225,2015,KLYUTF15_0012rr,middle,Kantishna_R,4.95E-07,0,KLYUTF15,12,rr
226,2015,KLYUTF15_0012rr,middle,Chatanika_R,0.00289586,0,KLYUTF15,12,rr
227,2015,KLYUTF15_0012rr,middle,Chena_R,0.000229559,0,KLYUTF15,12,rr
228,2015,KLYUTF15_0012rr,middle,Salcha_R,0.001279788,0,KLYUTF15,12,rr
229,2015,KLYUTF15_0012rr,middle,Goodpaster_R,0.003406889,0,KLYUTF15,12,rr
230,2015,KLYUTF15_0012rr,middle,Beaver_Ck,0.018104968,0,KLYUTF15,12,rr
231,2015,KLYUTF15_0012rr,middle,Chandalar_R,0.000110892,0,KLYUTF15,12,rr
232,2015,KLYUTF15_0012rr,middle,Sheenjek_R,2.19E-05,0,KLYUTF15,12,rr
233,2015,KLYUTF15_0012rr,middle,Coleen_R,6.52E-06,0,KLYUTF15,12,rr
234,2015,KLYUTF15_0012rr,upper,Kandik_R,1.84E-05,0,KLYUTF15,12,rr
235,2015,KLYUTF15_0012rr,upper,Chandindu_R,3.12E-06,0,KLYUTF15,12,rr
236,2015,KLYUTF15_0012rr,upper,Klondike_R,6.53E-06,0,KLYUTF15,12,rr
237,2015,KLYUTF15_0012rr,upper,Porcupine_R,0.000628601,0,KLYUTF15,12,rr
238,2015,KLYUTF15_0012rr,upper,Stewart_R,0.452700031,0,KLYUTF15,12,rr
239,2015,KLYUTF15_0012rr,upper,Mayo_R,0.096273974,0,KLYUTF15,12,rr
240,2015,KLYUTF15_0012rr,upper,Pelly_R,0.001236112,0,KLYUTF15,12,rr
241,2015,KLYUTF15_0012rr,upper,Blind_CK,0.002860251,0,KLYUTF15,12,rr
242,2015,KLYUTF15_0012rr,upper,Tincup_Creek,1.03E-06,0,KLYUTF15,12,rr
243,2015,KLYUTF15_0012rr,upper,Yukon_R_Mainstem,0.001359686,0,KLYUTF15,12,rr
244,2015,KLYUTF15_0012rr,upper,Tatchun_CK,9.59E-05,0,KLYUTF15,12,rr
245,2015,KLYUTF15_0012rr,upper,Nordenskiold_R,0.000192742,0,KLYUTF15,12,rr
246,2015,KLYUTF15_0012rr,upper,Little_Salmon_R,0.006555746,0,KLYUTF15,12,rr
247,2015,KLYUTF15_0012rr,upper,Big_Salmon_R,0.000668244,0,KLYUTF15,12,rr
248,2015,KLYUTF15_0012rr,upper,Nisutlin_R,0.001227068,0,KLYUTF15,12,rr
249,2015,KLYUTF15_0012rr,upper,Teslin_R,0.002549167,0,KLYUTF15,12,rr
250,2015,KLYUTF15_0012rr,upper,Morley_R,0.406831352,0,KLYUTF15,12,rr
251,2015,KLYUTF15_0012rr,upper,Takhini_R,0.0002132,0,KLYUTF15,12,rr
252,2015,KLYUTF15_0012rr,upper,Whitehorse,0.000147621,0,KLYUTF15,12,rr
253,2015,KLYUTF15_0013rr,lower,Andreafsky_R,1.90E-06,0,KLYUTF15,13,rr
254,2015,KLYUTF15_0013rr,lower,Anvik_R,1.26E-05,0,KLYUTF15,13,rr
255,2015,KLYUTF15_0013rr,lower,Nulato_R,3.54E-06,0,KLYUTF15,13,rr
256,2015,KLYUTF15_0013rr,lower,Gisasa_R,0.001937068,0,KLYUTF15,13,rr
257,2015,KLYUTF15_0013rr,lower,Kateel_R,0.002234772,0,KLYUTF15,13,rr
258,2015,KLYUTF15_0013rr,lower,Tozitna_R,0.004418951,0,KLYUTF15,13,rr
259,2015,KLYUTF15_0013rr,middle,S_Fk_Koyukuk_R,0.029661102,0,KLYUTF15,13,rr
260,2015,KLYUTF15_0013rr,middle,Henshaw_Creek,0.002555653,0,KLYUTF15,13,rr
261,2015,KLYUTF15_0013rr,middle,Kantishna_R,0.000615097,0,KLYUTF15,13,rr
262,2015,KLYUTF15_0013rr,middle,Chatanika_R,0.290706281,0,KLYUTF15,13,rr
263,2015,KLYUTF15_0013rr,middle,Chena_R,0.017537418,0,KLYUTF15,13,rr
264,2015,KLYUTF15_0013rr,middle,Salcha_R,0.05490762,0,KLYUTF15,13,rr
265,2015,KLYUTF15_0013rr,middle,Goodpaster_R,0.073269483,0,KLYUTF15,13,rr
266,2015,KLYUTF15_0013rr,middle,Beaver_Ck,0.02424523,0,KLYUTF15,13,rr
267,2015,KLYUTF15_0013rr,middle,Chandalar_R,7.41E-05,0,KLYUTF15,13,rr
268,2015,KLYUTF15_0013rr,middle,Sheenjek_R,9.25E-05,0,KLYUTF15,13,rr
269,2015,KLYUTF15_0013rr,middle,Coleen_R,0.000115066,0,KLYUTF15,13,rr
270,2015,KLYUTF15_0013rr,upper,Kandik_R,2.60E-06,0,KLYUTF15,13,rr
271,2015,KLYUTF15_0013rr,upper,Chandindu_R,1.06E-05,0,KLYUTF15,13,rr
272,2015,KLYUTF15_0013rr,upper,Klondike_R,1.06E-05,0,KLYUTF15,13,rr
