fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian
2021_yk_330,727.8721984,975.634111,0.707959153,0.001014669,247.7619126,330,0021-06-24,175
2021_yk_332,925.5431246,1130.813705,0.708566416,0.003096261,205.2705807,332,0021-06-24,175
2021_yk_333,497.829371,722.3884325,0.707172627,0.001044016,224.5590616,333,0021-06-24,175
2021_yk_335,990.1881453,1080.416386,0.710974551,0.001811829,90.22824068,335,0021-06-24,175
2021_yk_336,829.4634434,1032.684349,0.722473871,0.002420923,203.2209053,336,0021-06-24,175
2021_yk_341,696.2668615,862.4208367,0.709511041,0.017194769,166.1539752,341,0021-06-24,175
2021_yk_348,856.6031353,1057.357563,0.709862843,0.003088342,200.7544276,348,0021-06-25,176
2021_yk_350,363.103685,520.6512416,0.718515896,0.001765402,157.5475566,350,0021-06-25,176
2021_yk_351,765.2277774,1016.304609,0.710322462,0.003410146,251.0768312,351,0021-06-25,176
2021_yk_353,795.3963992,976.5639967,0.712329788,0.002136841,181.1675974,353,0021-06-25,176
2021_yk_354_R1,496.0042695,603.4675993,0.711917809,0.001197381,107.4633298,354,0021-06-26,177
2021_yk_357,518.2780785,727.0127012,0.710121966,0.002067899,208.7346227,357,0021-06-26,177
2021_yk_358a,413.7554446,540.1160336,0.715233622,0.002991662,126.3605891,358,0021-06-26,177
2021_yk_364,657.3690143,897.4860614,0.710768255,0.004305896,240.1170471,364,0021-06-26,177
2021_yk_367,549.3528341,796.3012113,0.708995031,0.002115307,246.9483772,367,0021-06-26,177
2021_yk_368,648.7169584,836.2624114,0.736586091,0.001129542,187.5454529,368,0021-06-26,177
2021_yk_370,597.433492,779.6890294,0.711449177,0.002267364,182.2555375,370,0021-06-27,178
2021_yk_371,687.9620301,894.8115414,0.709017425,0.002585778,206.8495113,371,0021-06-27,178
2021_yk_372,603.4925734,779.7344999,0.713871882,0.00244022,176.2419265,372,0021-06-27,178
2021_yk_373,575.6338709,689.1675245,0.712152045,0.001992132,113.5336536,373,0021-06-27,178
2021_yk_374,611.2651952,794.817809,0.713281348,0.002659942,183.5526138,374,0021-06-27,178
2021_yk_378,851.6884101,988.1880433,0.71568101,0.001955234,136.4996332,378,0021-06-27,178
2021_yk_380,664.618605,757.6586217,0.718081565,0.002213523,93.04001677,380,0021-06-27,178
2021_yk_382_R1,915.7408989,1145.777883,0.707663743,0.001117132,230.0369843,382,0021-06-27,178
2021_yk_385,1001.407751,1194.21474,0.714083472,0.002552329,192.8069892,385,0021-06-27,178
2021_yk_386,695.8440553,827.0686779,0.711439182,0.001955724,131.2246226,386,0021-06-27,178
2021_yk_391,731.1888251,937.3902029,0.709691101,0.002403356,206.2013778,391,0021-06-27,178
2021_yk_392,527.2042942,638.7091792,0.722031891,0.002990258,111.5048849,392,0021-06-27,178
2021_yk_394,568.1426995,780.0532858,0.707069445,0.001022636,211.9105863,394,0021-06-28,179
2021_yk_395,378.064237,515.8854157,0.713630518,0.002446641,137.8211787,395,0021-06-28,179
2021_yk_396,717.2533027,864.0879613,0.724408132,0.002033822,146.8346585,396,0021-06-28,179
2021_yk_398,444.6185903,554.7626981,0.722520082,0.001912514,110.1441078,398,0021-06-28,179
2021_yk_400,538.5020401,715.5998229,0.70759577,7.57E-04,177.0977828,400,0021-06-28,179
2021_yk_404,530.1463629,763.8896812,0.70734645,8.35E-04,233.7433182,404,0021-06-28,179
2021_yk_405,888.9440275,981.5258275,0.708532909,0.003285387,92.58179997,405,0021-06-28,179
2021_yk_406,799.8320862,1000.271772,0.709282663,0.003289487,200.4396857,406,0021-06-28,179
