fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date_julian,file.id,capture_date
2017_yk_160,NA,NA,0.72245542,NA,NA,160,165,2017_yukon_king_yk160.exp,6/14/17
2017_yk_161,NA,NA,0.71442528,NA,NA,161,166,2017_yukon_king_yk161.exp,6/15/17
2017_yk_163,NA,NA,0.71596221,NA,NA,163,166,2017_yukon_king_yk163.exp,6/15/17
2017_yk_164,NA,NA,0.71036741,NA,NA,164,166,2017_yukon_king_yk164.exp,6/15/17
2017_yk_165,NA,NA,0.71614914,NA,NA,165,166,2017_yukon_king_yk165.exp,6/15/17
2017_yk_166,NA,NA,0.72233338,NA,NA,166,166,2017_yukon_king_yk166.exp,6/15/17
2017_yk_167,NA,NA,0.71338728,NA,NA,167,166,2017_yukon_king_yk167.exp,6/15/17
2017_yk_169,NA,NA,0.70871518,NA,NA,169,166,2017_yukon_king_yk169.exp,6/15/17
2017_yk_170,NA,NA,0.71877552,NA,NA,170,166,2017_yukon_king_yk170.exp,6/15/17
2017_yk_171,NA,NA,0.71236922,NA,NA,171,166,2017_yukon_king_yk171.exp,6/15/17
2017_yk_172,NA,NA,0.72402198,NA,NA,172,166,2017_yukon_king_yk172.exp,6/15/17
2017_yk_174,NA,NA,0.72326714,NA,NA,174,167,2017_yukon_king_yk174.exp,6/16/17
2017_yk_176,NA,NA,0.71160797,NA,NA,176,167,2017_yukon_king_yk176.exp,6/16/17
2017_yk_177,NA,NA,0.71200757,NA,NA,177,167,2017_yukon_king_yk177.exp,6/16/17
2017_yk_178,NA,NA,0.71665275,NA,NA,178,167,2017_yukon_king_yk178.exp,6/16/17
2017_yk_180,NA,NA,0.71319029,NA,NA,180,167,2017_yukon_king_yk180.exp,6/16/17
2017_yk_181,NA,NA,0.71463918,NA,NA,181,167,2017_yukon_king_yk181.exp,6/16/17
2017_yk_182,NA,NA,0.72427349,NA,NA,182,167,2017_yukon_king_yk182.exp,6/16/17
2017_yk_183,NA,NA,0.71316138,NA,NA,183,167,2017_yukon_king_yk183.exp,6/16/17
2017_yk_184,NA,NA,0.7237115,NA,NA,184,167,2017_yukon_king_yk184.exp,6/16/17
2017_yk_185,NA,NA,0.72281745,NA,NA,185,167,2017_yukon_king_yk185.exp,6/16/17
2017_yk_187,NA,NA,0.7229064,NA,NA,187,167,2017_yukon_king_yk187.exp,6/16/17
2017_yk_190,NA,NA,0.71457665,NA,NA,190,167,2017_yukon_king_yk190.exp,6/16/17
2017_yk_191,NA,NA,0.72243956,NA,NA,191,167,2017_yukon_king_yk191.exp,6/16/17
2017_yk_192,NA,NA,0.7148555,NA,NA,192,167,2017_yukon_king_yk192.exp,6/16/17
2017_yk_193,NA,NA,0.71437152,NA,NA,193,167,2017_yukon_king_yk193.exp,6/16/17
2017_yk_195,NA,NA,0.71443285,NA,NA,195,167,2017_yukon_king_yk195.exp,6/16/17
2017_yk_201,NA,NA,0.70813172,NA,NA,201,167,2017_yukon_king_yk201.exp,6/16/17
2017_yk_203,NA,NA,0.70949118,NA,NA,203,167,2017_yukon_king_yk203.exp,6/16/17
2017_yk_204,NA,NA,0.71468068,NA,NA,204,167,2017_yukon_king_yk204.exp,6/16/17
2017_yk_205,NA,NA,0.72285513,NA,NA,205,167,2017_yukon_king_yk205.exp,6/16/17
2017_yk_207,NA,NA,0.71171561,NA,NA,207,168,2017_yukon_king_yk207.exp,6/17/17
2017_yk_209,NA,NA,0.72154547,NA,NA,209,168,2017_yukon_king_yk209.exp,6/17/17
2017_yk_210,NA,NA,0.70909961,NA,NA,210,168,2017_yukon_king_yk210.exp,6/17/17
2017_yk_211,NA,NA,0.7156574,NA,NA,211,168,2017_yukon_king_yk211.exp,6/17/17
2017_yk_212,NA,NA,0.71241955,NA,NA,212,168,2017_yukon_king_yk212.exp,6/17/17
2017_yk_213,NA,NA,0.72335516,NA,NA,213,168,2017_yukon_king_yk213.exp,6/17/17
2017_yk_214,NA,NA,0.7225777,NA,NA,214,168,2017_yukon_king_yk214.exp,6/17/17
2017_yk_215,NA,NA,0.72229523,NA,NA,215,168,2017_yukon_king_yk215.exp,6/17/17
2017_yk_216,NA,NA,0.71803874,NA,NA,216,168,2017_yukon_king_yk216.exp,6/17/17
2017_yk_217,NA,NA,0.71011774,NA,NA,217,168,2017_yukon_king_yk217.exp,6/17/17
2017_yk_218,NA,NA,0.72406841,NA,NA,218,168,2017_yukon_king_yk218.exp,6/17/17
2017_yk_219,NA,NA,0.72259533,NA,NA,219,168,2017_yukon_king_yk219.exp,6/17/17
2017_yk_221,NA,NA,0.70830909,NA,NA,221,168,2017_yukon_king_yk221.exp,6/17/17
2017_yk_222a,NA,NA,0.70656572,NA,NA,222,168,2017_yukon_king_yk222a.exp,6/17/17
2017_yk_225,NA,NA,0.71180158,NA,NA,225,168,2017_yukon_king_yk225.exp,6/17/17
2017_yk_228,NA,NA,0.71449421,NA,NA,228,168,2017_yukon_king_yk228.exp,6/17/17
2017_yk_229,NA,NA,0.7125752,NA,NA,229,168,2017_yukon_king_yk229.exp,6/17/17
2017_yk_230,NA,NA,0.71305956,NA,NA,230,168,2017_yukon_king_yk230.exp,6/17/17
2017_yk_232,NA,NA,0.71467016,NA,NA,232,168,2017_yukon_king_yk232.exp,6/17/17
2017_yk_233,NA,NA,0.72012276,NA,NA,233,168,2017_yukon_king_yk233.exp,6/17/17
2017_yk_234,NA,NA,0.71171638,NA,NA,234,168,2017_yukon_king_yk234.exp,6/17/17
2017_yk_237,NA,NA,0.70903597,NA,NA,237,169,2017_yukon_king_yk237.exp,6/18/17
2017_yk_239,NA,NA,0.73960036,NA,NA,239,169,2017_yukon_king_yk239.exp,6/18/17
2017_yk_240,NA,NA,0.71385359,NA,NA,240,169,2017_yukon_king_yk240.exp,6/18/17
2017_yk_242,NA,NA,0.71463767,NA,NA,242,169,2017_yukon_king_yk242.exp,6/18/17
2017_yk_243,NA,NA,0.71011617,NA,NA,243,169,2017_yukon_king_yk243.exp,6/18/17
2017_yk_245,NA,NA,0.70684392,NA,NA,245,169,2017_yukon_king_yk245.exp,6/18/17
2017_yk_246,NA,NA,0.71071003,NA,NA,246,169,2017_yukon_king_yk246.exp,6/18/17
2017_yk_247,NA,NA,0.7080005,NA,NA,247,169,2017_yukon_king_yk247.exp,6/18/17
2017_yk_248,NA,NA,0.72273553,NA,NA,248,169,2017_yukon_king_yk248.exp,6/18/17
2017_yk_250,NA,NA,0.7078222,NA,NA,250,169,2017_yukon_king_yk250.exp,6/18/17
2017_yk_251,NA,NA,0.7078973,NA,NA,251,169,2017_yukon_king_yk251.exp,6/18/17
2017_yk_252,NA,NA,0.72384644,NA,NA,252,169,2017_yukon_king_yk252.exp,6/18/17
2017_yk_253,NA,NA,0.70628194,NA,NA,253,169,2017_yukon_king_yk253.exp,6/18/17
2017_yk_255,NA,NA,0.72658905,NA,NA,255,169,2017_yukon_king_yk255.exp,6/18/17
2017_yk_256,NA,NA,0.7090935,NA,NA,256,169,2017_yukon_king_yk256.exp,6/18/17
2017_yk_258,NA,NA,0.71201937,NA,NA,258,169,2017_yukon_king_yk258.exp,6/18/17
2017_yk_260,NA,NA,0.71353974,NA,NA,260,169,2017_yukon_king_yk260.exp,6/18/17
2017_yk_261,NA,NA,0.71148771,NA,NA,261,169,2017_yukon_king_yk261.exp,6/18/17
2017_yk_262,NA,NA,0.70859133,NA,NA,262,169,2017_yukon_king_yk262.exp,6/18/17
2017_yk_263,NA,NA,0.72203643,NA,NA,263,169,2017_yukon_king_yk263.exp,6/18/17
2017_yk_266,NA,NA,0.71197628,NA,NA,266,169,2017_yukon_king_yk266.exp,6/18/17
2017_yk_268,NA,NA,0.71563566,NA,NA,268,170,2017_yukon_king_yk268.exp,6/19/17
2017_yk_269,NA,NA,0.71132267,NA,NA,269,170,2017_yukon_king_yk269.exp,6/19/17
2017_yk_270,NA,NA,0.72236249,NA,NA,270,170,2017_yukon_king_yk270.exp,6/19/17
2017_yk_273,NA,NA,0.71179884,NA,NA,273,170,2017_yukon_king_yk273.exp,6/19/17
2017_yk_274,NA,NA,0.71950722,NA,NA,274,170,2017_yukon_king_yk274.exp,6/19/17
2017_yk_276,NA,NA,0.71623525,NA,NA,276,170,2017_yukon_king_yk276.exp,6/19/17
2017_yk_277,NA,NA,0.71719695000000006,NA,NA,277,170,2017_yukon_king_yk277.exp,6/19/17
2017_yk_280,NA,NA,0.71881511,NA,NA,280,172,2017_yukon_king_yk280.exp,6/21/17
2017_yk_281,NA,NA,0.71493008,NA,NA,281,172,2017_yukon_king_yk281.exp,6/21/17
2017_yk_282,NA,NA,0.71606494,NA,NA,282,172,2017_yukon_king_yk282.exp,6/21/17
2017_yk_284,NA,NA,0.72217694,NA,NA,284,172,2017_yukon_king_yk284.exp,6/21/17
2017_yk_301,NA,NA,0.71155614,NA,NA,301,170,2017_yukon_king_yk301.exp,6/19/17
2017_yk_302,NA,NA,0.72251907,NA,NA,302,170,2017_yukon_king_yk302.exp,6/19/17
2017_yk_303,NA,NA,0.70848897,NA,NA,303,170,2017_yukon_king_yk303.exp,6/19/17
2017_yk_304,NA,NA,0.71024316,NA,NA,304,170,2017_yukon_king_yk304.exp,6/19/17
2017_yk_305,NA,NA,0.73972689,NA,NA,305,170,2017_yukon_king_yk305.exp,6/19/17
2017_yk_306,NA,NA,0.724872,NA,NA,306,170,2017_yukon_king_yk306.exp,6/19/17
2017_yk_307,NA,NA,0.72253544,NA,NA,307,170,2017_yukon_king_yk307.exp,6/19/17
2017_yk_308,NA,NA,0.71459426,NA,NA,308,170,2017_yukon_king_yk308.exp,6/19/17
2017_yk_309,NA,NA,0.71398386,NA,NA,309,170,2017_yukon_king_yk309.exp,6/19/17
2017_yk_310,NA,NA,0.7136753,NA,NA,310,170,2017_yukon_king_yk310.exp,6/19/17
2017_yk_312,NA,NA,0.70802433,NA,NA,312,170,2017_yukon_king_yk312.exp,6/19/17
2017_yk_313,NA,NA,0.71450386,NA,NA,313,170,2017_yukon_king_yk313.exp,6/19/17
2017_yk_314,NA,NA,0.7102107,NA,NA,314,170,2017_yukon_king_yk314.exp,6/19/17
2017_yk_315,NA,NA,0.70744228,NA,NA,315,170,2017_yukon_king_yk315.exp,6/19/17
2017_yk_316,NA,NA,0.71289254,NA,NA,316,171,2017_yukon_king_yk316.exp,6/20/17
2017_yk_317,NA,NA,0.72308537,NA,NA,317,171,2017_yukon_king_yk317.exp,6/20/17
2017_yk_318,NA,NA,0.70719673,NA,NA,318,171,2017_yukon_king_yk318.exp,6/20/17
2017_yk_319,NA,NA,0.70706701,NA,NA,319,171,2017_yukon_king_yk319.exp,6/20/17
2017_yk_321,NA,NA,0.72229931,NA,NA,321,171,2017_yukon_king_yk321.exp,6/20/17
2017_yk_322,NA,NA,0.71247529,NA,NA,322,171,2017_yukon_king_yk322.exp,6/20/17
2017_yk_323,NA,NA,0.71903084,NA,NA,323,171,2017_yukon_king_yk323.exp,6/20/17
2017_yk_325,NA,NA,0.70478248,NA,NA,325,171,2017_yukon_king_yk325.exp,6/20/17
2017_yk_326,NA,NA,0.70605009,NA,NA,326,171,2017_yukon_king_yk326.exp,6/20/17
2017_yk_327,NA,NA,0.7103617,NA,NA,327,171,2017_yukon_king_yk327.exp,6/20/17
2017_yk_330,NA,NA,0.70718123,NA,NA,330,171,2017_yukon_king_yk330.exp,6/20/17
2017_yk_331,NA,NA,0.71252353,NA,NA,331,171,2017_yukon_king_yk331.exp,6/20/17
2017_yk_332,NA,NA,0.71177915,NA,NA,332,171,2017_yukon_king_yk332.exp,6/20/17
2017_yk_335,NA,NA,0.71239276,NA,NA,335,171,2017_yukon_king_yk335.exp,6/20/17
2017_yk_336,NA,NA,0.7077671,NA,NA,336,171,2017_yukon_king_yk336.exp,6/20/17
2017_yk_337,NA,NA,0.72284168,NA,NA,337,171,2017_yukon_king_yk337.exp,6/20/17
2017_yk_338,NA,NA,0.71835993,NA,NA,339,171,2017_yukon_king_yk338.exp,6/20/17
2017_yk_340,NA,NA,0.70775609,NA,NA,340,171,2017_yukon_king_yk340.exp,6/20/17
2017_yk_341,NA,NA,0.71180527,NA,NA,341,171,2017_yukon_king_yk341.exp,6/20/17
