reachid,Str_Order,avg_rescale,n_years
904,1,0,6
906,2,0,6
907,2,0,6
908,1,0,6
909,2,0,6
911,1,0,6
912,2,0,6
913,1,0,6
914,1,0,6
916,1,0,6
917,1,0,6
918,1,0,6
922,2,0,6
923,2,0,6
924,1,0,6
937,1,0,6
939,1,0,6
1064,1,0,6
1065,1,0,6
4970,2,0,6
12369,1,0,6
12370,1,0,6
12371,1,0,6
12372,1,0,6
12373,2,0,6
11515,2,0,6
11516,1,0,6
1093,2,0,6
1095,2,0,6
1096,2,0,6
1097,2,0,6
1098,2,0,6
1180,1,0,6
1181,2,0,6
1182,1,0,6
1183,1,0,6
1184,1,0,6
1186,1,0,6
1188,2,0,6
1258,2,0,6
1259,1,0,6
943,1,0,6
944,2,0,6
958,2,0,6
960,1,0,6
1066,1,0,6
1067,2,0,6
1068,1,0,6
1069,2,0,6
1070,1,0,6
1071,2,0,6
1141,1,0,6
1142,1,0,6
1143,1,0,6
1147,1,0,6
1148,1,0,6
1149,1,0,6
1220,1,0,6
1221,1,0,6
1222,1,0,6
1223,1,0,6
1224,1,0,6
961,1,0,6
962,2,0,6
964,2,0,6
965,1,0,6
966,2,0,6
968,1,0,6
969,1,0,6
970,2,0,6
971,1,0,6
972,1,0,6
975,1,0,6
976,1,0,6
977,2,0,6
978,1,0,6
980,1,0,6
1252,1,0,6
1253,1,0,6
1254,1,0,6
1255,2,0,6
1256,2,0,6
1351,2,0,6
1354,2,0,6
1355,1,0,6
1356,1,0,6
1429,1,0,6
1430,1,0,6
1431,1,0,6
1432,1,0,6
1433,2,0,6
994,1,0,6
996,1,0,6
998,1,0,6
999,1,0,6
1132,2,0,6
1133,2,0,6
1230,1,0,6
4935,2,0,6
1297,2,0,6
1299,1,0,6
1300,1,0,6
1301,1,0,6
1302,1,0,6
1002,1,0,6
1003,2,0,6
1004,2,0,6
1005,1,0,6
1007,2,0,6
1008,2,0,6
1010,2,0,6
1012,2,0,6
1013,2,0,6
1024,1,0,6
1025,2,0,6
1026,1,0,6
1027,1,0,6
1028,1,0,6
1029,1,0,6
1030,1,0,6
1032,2,0,6
1034,1,0,6
1035,1,0,6
1036,1,0,6
1037,1,0,6
1038,1,0,6
1039,2,0,6
1040,1,0,6
1041,1,0,6
1042,1,0,6
1043,2,0,6
1045,1,0,6
1046,2,0,6
1053,1,0,6
1054,1,0,6
1055,1,0,6
1056,1,0,6
1057,1,0,6
1058,2,0,6
1059,1,0,6
1060,2,0,6
1061,2,0,6
1062,2,0,6
1072,1,0,6
1073,2,0,6
1074,1,0,6
1091,1,0,6
1099,1,0,6
1100,2,0,6
1101,1,0,6
1103,2,0,6
1104,1,0,6
1108,1,0,6
1109,2,0,6
1110,1,0,6
1111,1,0,6
1112,2,0,6
1113,2,0,6
1114,2,0,6
1115,2,0,6
1116,1,0,6
1118,1,0,6
1119,2,0,6
1121,1,0,6
1122,1,0,6
1124,2,0,6
1308,3,0,6
1175,5,1.9110441910029304e-4,6
1198,7,0,6
1202,6,0,6
1208,6,0,6
1216,7,0,6
1225,6,0,6
1227,3,0,6
1228,3,0,6
1229,3,0,6
1233,5,1.8922676249997388e-4,6
1239,3,0,6
1240,3,0,6
1250,3,2.078070218153663e-4,6
1324,3,0,6
1325,3,0,6
4922,3,0,6
11509,5,5.888372970501178e-4,6
12436,3,2.71500025972149e-4,6
12438,7,5.825926218152802e-4,6
12439,7,5.70646747139249e-4,6
6310,5,2.796204949285494e-4,6
6311,3,0,6
6315,3,0,6
8419,4,2.691232799846307e-4,6
8421,3,0,6
8423,3,0,6
8428,4,0,6
11749,5,5.639527736150691e-4,6
11754,3,5.702223931082971e-4,6
2111,3,0,6
2114,3,2.2243836994516558e-4,6
2115,4,0,6
1333,5,1.8759910744822294e-4,6
1337,6,0,6
11490,4,3.6279957896765184e-4,6
1261,4,0,6
1262,3,0,6
1263,3,5.224980421175884e-5,6
1266,3,0,6
1285,3,0,6
1289,5,1.873094032565313e-4,6
1294,7,0,6
1295,3,0,6
1770,3,3.57309359540886e-5,6
13434,3,1.4720174634940664e-4,6
13436,4,4.242793625510446e-4,6
1345,4,1.9118123288814953e-4,6
1435,3,0,6
1436,3,4.0814409656443054e-4,6
1310,3,0,6
1805,7,0,6
1809,3,2.6523283370329104e-4,6
4958,4,2.0383554101139644e-4,6
1312,6,0,6
1314,6,0,6
1315,6,0,6
1365,3,0,6
1447,3,0,6
1783,3,0,6
4951,3,3.491403012469498e-4,6
4952,3,4.015957893505394e-4,6
12335,5,5.443782476183518e-4,6
12336,4,2.5484997499681785e-4,6
12337,7,0,6
1400,3,1.885576716255835e-5,6
1401,3,0,6
7427,3,3.4403568772673886e-4,6
11506,5,5.962291231229264e-4,6
1424,3,0,6
1427,3,2.528255173187842e-4,6
1440,7,0,6
1452,7,0,6
1453,3,6.266828941464305e-5,6
1459,4,7.127968745976523e-5,6
1756,3,5.642670279577297e-5,6
1758,7,0,6
1760,3,4.652794289646149e-4,6
1814,3,4.8042138629944064e-5,6
1817,3,4.8033593407234957e-05,6
1819,3,3.974630974324398e-5,6
11535,3,3.951815486811896e-4,6
12352,3,2.919727503409492e-4,6
1767,4,0,6
1772,5,2.1394238547341795e-4,6
1775,4,0,6
1784,3,3.368083100564725e-4,6
1785,3,4.804487929954282e-5,6
1787,4,0,6
1788,6,0,6
1789,3,3.966964928158405e-5,6
1790,6,0,6
1793,3,0,6
4904,3,3.706180891977113e-4,6
4905,3,5.597299114539211e-4,6
4906,3,0,6
4910,3,2.2009860490240893e-4,6
4912,3,5.953445120729685e-4,6
4914,3,0,6
4930,3,0,6
4936,4,4.284742317038037e-4,6
4937,7,0,6
4943,3,0,6
4944,3,3.312521227800777e-4,6
13416,4,2.6338681527115956e-4,6
1502,3,2.6516955402366586e-4,6
4964,3,2.745121114088147e-4,6
4965,7,0,6
7433,7,0,6
1125,2,0,6
1126,2,0,6
1127,1,0,6
1128,1,0,6
1129,1,0,6
1130,1,0,6
1134,2,0,6
1135,1,0,6
1136,1,0,6
1137,1,0,6
1210,1,0,6
1211,2,0,6
1212,1,0,6
1213,1,0,6
1214,1,0,6
1215,2,0,6
1270,1,0,6
1271,1,0,6
1272,1,0,6
4933,1,0,6
4934,1,0,6
1305,1,0,6
1306,1,0,6
1307,1,0,6
1150,1,0,6
1151,2,0,6
1152,2,0,6
1153,1,0,6
1154,1,0,6
1155,1,0,6
1156,2,0,6
1157,1,0,6
1158,1,0,6
1168,1,0,6
1169,2,0,6
1170,2,0,6
1174,1,0,6
1193,2,0,6
1194,2,0,6
1195,1,0,6
1196,2,0,6
1197,2,0,6
1199,1,0,6
1200,1,0,6
1201,2,0,6
1203,2,0,6
1204,1,0,6
1205,1,0,6
1206,1,0,6
1207,1,0,6
1209,1,0,6
1217,1,0,6
1218,1,0,6
1226,1,0,6
1234,1,0,6
1235,1,0,6
1236,1,0,6
1237,1,0,6
1238,1,0,6
1241,1,0,6
1242,1,0,6
1249,1,0,6
1251,2,0,6
1326,1,0,6
1411,2,0,6
1412,2,0,6
1413,1,0,6
4921,1,0,6
4923,1,0,6
1330,1,0,6
11501,2,0,6
11502,1,0,6
11503,2,0,6
11504,1,0,6
11508,1,0,6
11510,1,0,6
11511,1,0,6
12435,1,0,6
12437,1,0,6
12440,1,0,6
12441,1,0,6
12442,1,0,6
6308,1,0,6
6309,1,0,6
6312,1,0,6
