fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian,file.id
,,,0.705615802,,,616,7/9/15,,2015_yokon_chin_yk616.exp
,,,0.710441068,,,1,5/28/15,,2015_yukon_chin_yk001.exp
,,,0.72401962,,,2,5/28/15,,2015_yukon_chin_yk002.exp
,,,0.707360166,,,6,5/30/15,,2015_yukon_chin_yk006.exp
,,,0.722466471,,,11,6/1/15,,2015_yukon_chin_yk011.exp
,,,0.710513118,,,12,6/1/15,,2015_yukon_chin_yk012.exp
,,,0.710216348,,,13,6/1/15,,2015_yukon_chin_yk013.exp
,,,0.727815333,,,16,6/2/15,,2015_yukon_chin_yk016.exp
,,,0.720208741,,,17,6/2/15,,2015_yukon_chin_yk017.exp
,,,0.709835867,,,18,6/2/15,,2015_yukon_chin_yk018.exp
,,,0.722204661,,,25,6/4/15,,2015_yukon_chin_yk025.exp
,,,0.726994586,,,27,6/4/15,,2015_yukon_chin_yk027.exp
,,,0.715773013,,,32,6/5/15,,2015_yukon_chin_yk032.exp
,,,0.717048886,,,33,6/5/15,,2015_yukon_chin_yk033.exp
,,,0.714850816,,,34,6/5/15,,2015_yukon_chin_yk034.exp
,,,0.706906118,,,39,6/5/15,,2015_yukon_chin_yk039.exp
,,,0.707766081,,,610,7/8/15,,2015_yukon_chin_yk610.exp
,,,0.707022834,,,619,7/10/15,,2015_yukon_chin_yk619.exp
,,,0.724397517,,,63,6/6/15,,2015_yukon_chin_yk063_redo.exp
,,,0.717854786,,,78,6/7/15,,2015_yukon_chin_yk078_redo.exp
,,,0.716218484,,,81,6/7/15,,2015_yukon_chin_yk081_redo.exp
,,,0.711309017,,,95,6/8/15,,2015_yukon_chin_yk095_redo.exp
,,,0.71991173,,,125,6/11/15,,2015_yukon_chin_yk125_redo.exp
,,,0.714284076,,,158,6/15/15,,2015_yukon_chin_yk158_redo.exp
,,,0.710243328,,,184,6/17/15,,2015_yukon_chin_yk184_redo.exp
,,,0.722466365,,,208,6/9/15,,2015_yukon_chin_yk208_redo.exp
