reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,GenLMU
11826,5,0.725815376793,17.94710395189514,4.0408521359555535e-4,0.4934347004878597,middle
11832,3,0.721771554623,0,0,0,middle
11833,3,0.708805113609,0,0,0,lower
11835,3,0.735992899044,0,0,0,middle
11836,4,0.717030747512,0,0,0,middle
11838,4,0.715480022049,3.027314978212723,6.816103717184618e-5,0.08323249609300164,middle
11840,3,0.735808626733,0,0,0,middle
11841,6,0.721860687915,36.035315962040585,8.113475236190894e-4,0.9907490025340427,middle
11845,7,0.719791489767,0,0,0,middle
11848,4,0.716446268236,16.55946989410619,3.7284215587788354e-4,0.45528331976776626,middle
11855,3,0.708649029675,0,0,0,lower
11858,3,0.711789543966,0,0,0,lower
11860,3,0.709277377245,0,0,0,lower
11861,3,0.705009986457,0,0,0,lower
11862,5,0.708732301291,12.514338124820023,2.817646238484576e-4,0.34406713757136936,lower
11879,3,0.734398221314,0,0,0,middle
11880,3,0.711826385122,0,0,0,lower
11881,4,0.707151939486,16.53250258630588,3.722349776745482e-4,0.45454188507818766,lower
11882,5,0.708658220189,12.6624234215775,2.850988151993851e-4,0.3481385701684077,lower
11884,5,0.736079212117,2.213661297141389,4.984134490340075e-5,0.06086203668649204,middle
11885,7,0.717496045854,26.79990098278705,6.034089813039555e-4,0.7368320342931667,middle
11886,3,0.735175575115,0,0,0,middle
11891,3,0.715125963148,0,0,0,middle
11894,5,0.714134154829,23.84676332126429,5.369180719108834e-4,0.6556389570469053,middle
11895,5,0.711738106466,0,0,0,middle
11901,3,0.711652452615,0,0,0,middle
11904,8,0.716473368727,0,0,0,middle
11909,3,0.704992155341,0,0,0,lower
11913,5,0.736312704424,2.086958079552761,4.698857841362185e-5,0.057378479429049896,middle
11916,5,0.707797528511,14.855401141839303,3.344744622607435e-4,0.40843193602143535,lower
11918,9,0.714646870433,0,0,0,lower
11920,4,0.733758543574,0.9955728792701729,2.2415665538469734e-5,0.027372115680237084,middle
11932,8,0.716220302705,0,0,0,middle
11934,6,0.721110472206,36.37179131129369,8.189233817484575e-4,1,middle
11936,3,0.707937758984,0,0,0,lower
11938,3,0.70845593714,0,0,0,middle
11940,3,0.726320807139,0,0,0,middle
11942,3,0.713609329211,0,0,0,middle
11946,5,0.707758307942,14.840641611425372,3.341421463608708e-4,0.408026139939312,lower
11950,8,0.716230553993,0,0,0,middle
11952,3,0.711735587302,0,0,0,middle
11954,6,0.721691997489,30.594591402033142,6.888477402647372e-4,0.8411626235338404,middle
11956,6,0.719752738074,35.80795583757574,8.062284322769016e-4,0.9844980009675004,middle
11959,4,0.707232622981,18.341324704507258,4.1296122932767837e-4,0.5042733404997887,lower
11960,3,0.716810849057,0,0,0,middle
11970,3,0.708873061158,0,0,0,middle
11971,3,0.708437210268,0,0,0,middle
11979,3,0.718487570854,0,0,0,lower
11982,7,0.717510808239,26.810266358126693,6.036423612921331e-4,0.7371170182042126,middle
11984,3,0.708883498274,0,0,0,lower
11986,3,0.724036468699,0,0,0,middle
11987,3,0.708784511357,0,0,0,middle
11990,5,0.707697385806,18.226875838067528,4.1038437376563185e-4,0.5011267023411068,lower
11992,5,0.707715900856,14.710597380437308,3.312141558061533e-4,0.40445072541339383,lower
11995,3,0.7281858414,0,0,0,middle
11998,4,0.711941791569,4.220483598205377,9.502563872302478e-5,0.11603727630799664,lower
12002,7,0.718671827552,21.93558490955416,4.938872331312623e-4,0.6030933346618815,middle
12004,3,0.708910227721,0,0,0,lower
12007,4,0.73320093578,0,0,0,middle
12008,3,0.729123863927,0,0,0,middle
12011,7,0.719377018209,23.677404628034388,5.331049027270697e-4,0.6509826372143072,middle
12016,9,0.715520821887,0,0,0,lower
12023,3,0.7088993504,0,0,0,lower
12024,9,0.71539161537,0,0,0,lower
12032,3,0.718088052403,0,0,0,middle
12034,3,0.705159665758,0,0,0,lower
12042,9,0.715559535009,0,0,0,lower
12044,4,0.711897635265,0,0,0,lower
12045,8,0.716425258402,0,0,0,middle
12048,4,0.712009210349,2.5552661488326236,5.753269554308734e-5,0.07025406384203012,lower
12050,3,0.720365288657,0,0,0,middle
12053,3,0.71357967354,0,0,0,middle
12056,9,0.715587413533,0,0,0,lower
12073,3,0.70517469511,0,0,0,lower
12085,3,0.734930378259,0,0,0,middle
12087,7,0.717447582209,26.765987695793438,6.026454119918663e-4,0.7358996280032657,middle
