reachbase,original_reachid,stream_order,upstream_reachid,tributary_group_id
4,17357,4,17337,4_17357_4
4,17357,4,17259,4_17357_4
4,17358,4,17358,4_17358_4
4,17384,4,17384,4_17384_4
4,17385,4,17385,4_17385_4
4,17397,4,17558,4_17397_4
4,17397,4,17817,4_17397_4
4,17406,4,17393,4_17406_4
4,17408,4,17434,4_17408_4
4,17408,4,17430,4_17408_4
4,17432,4,17432,4_17432_4
4,17438,4,17438,4_17438_4
4,17447,4,17639,4_17447_4
4,17447,4,17740,4_17447_4
4,17447,4,17744,4_17447_4
4,17447,4,17873,4_17447_4
4,17447,4,17949,4_17447_4
4,17447,4,17995,4_17447_4
4,17447,4,17992,4_17447_4
4,17459,4,17459,4_17459_4
4,17469,4,17469,4_17469_4
4,17491,4,17541,4_17491_4
4,17501,4,17571,4_17501_4
4,17501,4,17756,4_17501_4
4,17501,4,17778,4_17501_4
4,17501,4,17809,4_17501_4
4,17501,4,17861,4_17501_4
4,17501,4,17944,4_17501_4
4,17501,4,18035,4_17501_4
4,17501,4,18284,4_17501_4
4,17540,4,17323,4_17540_4
4,17546,4,17546,4_17546_4
4,17574,4,17574,4_17574_4
4,17615,4,17608,4_17615_4
4,17620,4,18051,4_17620_4
4,17620,4,18125,4_17620_4
4,17627,4,17627,4_17627_4
4,17643,4,17689,4_17643_4
4,17655,4,17655,4_17655_4
4,17683,4,17743,4_17683_4
4,17685,4,17685,4_17685_4
4,17688,4,17801,4_17688_4
4,17688,4,18123,4_17688_4
4,17688,4,18253,4_17688_4
4,17712,4,18412,4_17712_4
4,17712,4,18481,4_17712_4
4,17732,4,17711,4_17732_4
4,17732,4,17803,4_17732_4
4,17931,4,18038,4_17931_4
4,17931,4,18092,4_17931_4
4,17931,4,18140,4_17931_4
4,17932,4,17982,4_17932_4
4,17932,4,18048,4_17932_4
4,17932,4,18074,4_17932_4
4,17749,4,17630,4_17749_4
4,17749,4,18014,4_17749_4
4,17757,4,17781,4_17757_4
4,17757,4,17747,4_17757_4
4,17821,4,17831,4_17821_4
4,17821,4,17810,4_17821_4
4,17821,4,17820,4_17821_4
4,17821,4,17764,4_17821_4
4,17821,4,17761,4_17821_4
4,17821,4,17707,4_17821_4
4,17847,4,17847,4_17847_4
4,17852,4,17907,4_17852_4
4,17852,4,18028,4_17852_4
4,17852,4,18165,4_17852_4
4,17852,4,18205,4_17852_4
4,17852,4,18226,4_17852_4
4,17862,4,17862,4_17862_4
4,17870,4,17870,4_17870_4
4,17895,4,17895,4_17895_4
4,17911,4,17911,4_17911_4
4,17952,4,17952,4_17952_4
4,17957,4,18057,4_17957_4
4,17957,4,18151,4_17957_4
4,17957,4,18343,4_17957_4
4,17964,4,17964,4_17964_4
4,17975,4,18026,4_17975_4
4,17975,4,18536,4_17975_4
4,17975,4,18663,4_17975_4
4,17996,4,17996,4_17996_4
4,18008,4,18427,4_18008_4
4,18008,4,18504,4_18008_4
4,18056,4,18056,4_18056_4
4,18098,4,18098,4_18098_4
4,18472,4,18416,4_18472_4
4,18089,4,18089,4_18089_4
4,18178,4,18178,4_18178_4
4,18183,4,17888,4_18183_4
4,18199,4,18222,4_18199_4
4,18199,4,18328,4_18199_4
4,18199,4,18435,4_18199_4
4,18199,4,18607,4_18199_4
4,18199,4,18855,4_18199_4
4,18199,4,18881,4_18199_4
4,18227,4,18113,4_18227_4
4,18227,4,18102,4_18227_4
4,18255,4,18255,4_18255_4
4,18267,4,18267,4_18267_4
4,18279,4,18279,4_18279_4
4,18295,4,18309,4_18295_4
4,18296,4,18296,4_18296_4
4,18322,4,18304,4_18322_4
